,team,spi,off,def,date
0,Man City,93.8,3.1,0.3,2018-12-12
1,Liverpool,91.4,2.7,0.3,2018-12-12
2,Tottenham,85.8,2.5,0.5,2018-12-12
3,Chelsea,86.6,2.4,0.4,2018-12-12
4,Arsenal,82.6,2.5,0.6,2018-12-12
5,Man United,79.1,2.3,0.7,2018-12-12
6,Everton,70.9,1.9,0.8,2018-12-12
7,Watford,70.4,1.9,0.8,2018-12-12
8,Wolves,69.1,1.8,0.8,2018-12-12
9,West Ham,68.6,1.9,0.9,2018-12-12
10,Leicester,69.5,1.8,0.8,2018-12-12
11,Bournemouth,64.6,1.9,1.1,2018-12-12
12,Brighton,61.8,1.7,1.0,2018-12-12
13,Crystal Palace,68.4,1.8,0.8,2018-12-12
14,Newcastle,63.1,1.7,0.9,2018-12-12
15,Cardiff City,59.9,1.6,1.0,2018-12-12
16,Southamon,65.6,1.8,0.9,2018-12-12
17,Huddersfield,61.6,1.5,0.8,2018-12-12
18,Fulham,58.3,1.7,1.1,2018-12-12
19,Burnley,55.9,1.6,1.1,2018-12-12
