,team,spi,off,def,date
0,Man City,94.4,3.0,0.2,2018-10-24
1,Liverpool,91.0,2.7,0.3,2018-10-24
2,Chelsea,86.5,2.5,0.5,2018-10-24
3,Tottenham,84.8,2.4,0.5,2018-10-24
4,Arsenal,81.8,2.6,0.7,2018-10-24
5,Man United,78.9,2.2,0.7,2018-10-24
6,Bournemouth,67.2,2.0,1.0,2018-10-24
7,Watford,68.4,1.8,0.8,2018-10-24
8,Leicester,70.8,1.9,0.8,2018-10-24
9,Everton,68.7,1.8,0.8,2018-10-24
10,Wolves,67.1,1.7,0.8,2018-10-24
11,Brighton,62.6,1.7,1.0,2018-10-24
12,West Ham,66.5,1.8,0.9,2018-10-24
13,Crystal Palace,67.1,1.8,0.8,2018-10-24
14,Southamon,65.4,1.7,0.9,2018-10-24
15,Newcastle,65.7,1.7,0.8,2018-10-24
16,Burnley,58.7,1.6,1.1,2018-10-24
17,Fulham,59.1,1.8,1.2,2018-10-24
18,Cardiff City,59.7,1.6,1.0,2018-10-24
19,Huddersfield,60.0,1.5,0.9,2018-10-24
