,team,spi,off,def,date
0,Man City,93.7,3.0,0.2,2018-10-03
1,Liverpool,90.6,2.7,0.3,2018-10-03
2,Chelsea,86.2,2.5,0.5,2018-10-03
3,Tottenham,84.5,2.4,0.5,2018-10-03
4,Arsenal,80.5,2.5,0.8,2018-10-03
5,Man United,79.8,2.2,0.6,2018-10-03
6,Leicester,72.6,2.0,0.8,2018-10-03
7,Watford,70.0,1.9,0.8,2018-10-03
8,Wolves,67.9,1.7,0.8,2018-10-03
9,Bournemouth,64.6,1.9,1.1,2018-10-03
10,Crystal Palace,67.9,1.8,0.8,2018-10-03
11,Everton,66.7,1.8,0.9,2018-10-03
12,West Ham,65.3,1.8,0.9,2018-10-03
13,Southamon,66.2,1.8,0.9,2018-10-03
14,Brighton,63.1,1.7,1.0,2018-10-03
15,Newcastle,65.9,1.6,0.8,2018-10-03
16,Burnley,60.9,1.7,1.0,2018-10-03
17,Fulham,60.9,1.8,1.1,2018-10-03
18,Cardiff City,58.4,1.6,1.0,2018-10-03
19,Huddersfield,58.2,1.4,0.9,2018-10-03
