,team,spi,off,def,date
0,Man City,92.7,2.9,0.3,2018-08-20
1,Liverpool,90.2,2.8,0.4,2018-08-20
2,Tottenham,85.5,2.5,0.5,2018-08-20
3,Chelsea,84.8,2.5,0.5,2018-08-20
4,Arsenal,81.3,2.5,0.7,2018-08-20
5,Man United,80.5,2.2,0.6,2018-08-20
6,Watford,69.0,1.8,0.8,2018-08-20
7,Leicester,70.7,1.9,0.8,2018-08-20
8,Crystal Palace,70.0,1.9,0.8,2018-08-20
9,Everton,68.0,1.8,0.9,2018-08-20
10,Bournemouth,64.8,1.9,1.0,2018-08-20
11,Newcastle,67.7,1.8,0.8,2018-08-20
12,Southamon,67.0,1.7,0.8,2018-08-20
13,Brighton,62.9,1.7,0.9,2018-08-20
14,Burnley,63.9,1.6,0.9,2018-08-20
15,Fulham,63.5,1.7,0.9,2018-08-20
16,Wolves,63.2,1.7,0.9,2018-08-20
17,West Ham,62.3,1.8,1.0,2018-08-20
18,Huddersfield,58.1,1.5,1.0,2018-08-20
19,Cardiff City,58.6,1.6,1.0,2018-08-20
