,team,spi,off,def,date
0,Liverpool,91.5,2.8,0.3,2019-02-06
1,Man City,93.4,3.0,0.3,2019-02-06
2,Tottenham,85.7,2.5,0.5,2019-02-06
3,Chelsea,84.4,2.3,0.5,2019-02-06
4,Arsenal,78.9,2.3,0.7,2019-02-06
5,Man United,79.5,2.3,0.7,2019-02-06
6,Wolves,71.2,1.8,0.7,2019-02-06
7,Watford,69.0,1.9,0.9,2019-02-06
8,Leicester,71.8,1.9,0.7,2019-02-06
9,Bournemouth,65.9,2.0,1.1,2019-02-06
10,Everton,69.4,1.9,0.8,2019-02-06
11,West Ham,66.1,1.8,0.9,2019-02-06
12,Crystal Palace,72.1,1.8,0.7,2019-02-06
13,Brighton,62.5,1.7,0.9,2019-02-06
14,Southamon,66.2,1.8,0.9,2019-02-06
15,Newcastle,65.1,1.6,0.8,2019-02-06
16,Burnley,61.7,1.7,1.0,2019-02-06
17,Cardiff City,58.2,1.6,1.0,2019-02-06
18,Fulham,58.7,1.7,1.1,2019-02-06
19,Huddersfield,56.4,1.4,0.9,2019-02-06
