,team,spi,off,def,date
0,Man City,94.5,3.1,0.2,2019-04-10
1,Liverpool,93.0,2.8,0.2,2019-04-10
2,Tottenham,84.1,2.3,0.5,2019-04-10
3,Chelsea,86.0,2.5,0.5,2019-04-10
4,Arsenal,80.6,2.3,0.7,2019-04-10
5,Man United,79.7,2.3,0.7,2019-04-10
6,Wolves,70.4,1.8,0.7,2019-04-10
7,Watford,69.7,2.0,0.9,2019-04-10
8,Leicester,73.3,2.0,0.7,2019-04-10
9,Everton,74.4,1.9,0.7,2019-04-10
10,West Ham,61.8,1.8,1.1,2019-04-10
11,Crystal Palace,71.1,1.9,0.8,2019-04-10
12,Bournemouth,64.2,1.9,1.0,2019-04-10
13,Southamon,66.8,1.8,0.9,2019-04-10
14,Burnley,66.0,1.8,1.0,2019-04-10
15,Newcastle,66.4,1.7,0.8,2019-04-10
16,Brighton,61.1,1.6,1.0,2019-04-10
17,Cardiff City,57.8,1.6,1.1,2019-04-10
18,Fulham,56.7,1.7,1.2,2019-04-10
19,Huddersfield,52.0,1.4,1.1,2019-04-10
