,team,spi,off,def,date
0,Man City,92.2,2.9,0.3,2018-09-02
1,Liverpool,89.9,2.7,0.4,2018-09-02
2,Chelsea,85.3,2.5,0.5,2018-09-02
3,Tottenham,85.5,2.5,0.5,2018-09-02
4,Arsenal,80.3,2.5,0.8,2018-09-02
5,Man United,81.0,2.3,0.6,2018-09-02
6,Watford,69.8,1.8,0.8,2018-09-02
7,Leicester,71.4,1.9,0.8,2018-09-02
8,Bournemouth,65.5,1.9,1.0,2018-09-02
9,Crystal Palace,68.3,1.9,0.9,2018-09-02
10,Everton,66.5,1.8,0.9,2018-09-02
11,Southamon,68.0,1.8,0.8,2018-09-02
12,Wolves,64.5,1.7,0.9,2018-09-02
13,Newcastle,67.4,1.7,0.8,2018-09-02
14,Brighton,63.6,1.7,0.9,2018-09-02
15,Fulham,63.0,1.8,1.0,2018-09-02
16,West Ham,62.8,1.8,1.0,2018-09-02
17,Burnley,61.9,1.7,1.0,2018-09-02
18,Cardiff City,60.0,1.6,1.0,2018-09-02
19,Huddersfield,58.3,1.5,0.9,2018-09-02
