,team,spi,off,def,date
0,Man City,94.3,3.0,0.2,2018-10-29
1,Liverpool,91.1,2.7,0.3,2018-10-29
2,Chelsea,87.6,2.6,0.4,2018-10-29
3,Tottenham,84.1,2.4,0.5,2018-10-29
4,Arsenal,81.2,2.5,0.7,2018-10-29
5,Man United,78.6,2.2,0.7,2018-10-29
6,Bournemouth,69.1,2.0,0.9,2018-10-29
7,Watford,69.1,1.9,0.8,2018-10-29
8,Leicester,70.5,1.9,0.8,2018-10-29
9,Everton,68.9,1.9,0.8,2018-10-29
10,Wolves,67.7,1.7,0.8,2018-10-29
11,Brighton,62.1,1.7,1.0,2018-10-29
12,West Ham,66.6,1.8,0.9,2018-10-29
13,Crystal Palace,68.1,1.8,0.8,2018-10-29
14,Southamon,66.1,1.7,0.8,2018-10-29
15,Newcastle,65.5,1.6,0.8,2018-10-29
16,Cardiff City,59.5,1.6,1.0,2018-10-29
17,Burnley,57.3,1.6,1.1,2018-10-29
18,Fulham,57.5,1.7,1.2,2018-10-29
19,Huddersfield,59.0,1.4,0.9,2018-10-29
