,team,spi,off,def,date
0,Liverpool,92.9,2.9,0.3,2019-01-02
1,Man City,92.3,3.0,0.4,2019-01-02
2,Tottenham,85.1,2.5,0.5,2019-01-02
3,Chelsea,86.2,2.3,0.4,2019-01-02
4,Arsenal,79.4,2.4,0.7,2019-01-02
5,Man United,79.8,2.4,0.7,2019-01-02
6,Leicester,71.3,1.8,0.7,2019-01-02
7,Watford,70.0,2.0,0.9,2019-01-02
8,Wolves,69.8,1.7,0.7,2019-01-02
9,Everton,71.0,1.9,0.8,2019-01-02
10,West Ham,66.0,1.9,1.0,2019-01-02
11,Bournemouth,64.6,1.9,1.1,2019-01-02
12,Crystal Palace,71.1,1.8,0.7,2019-01-02
13,Brighton,63.3,1.6,0.9,2019-01-02
14,Southamon,66.6,1.8,0.9,2019-01-02
15,Newcastle,62.2,1.6,0.9,2019-01-02
16,Burnley,60.2,1.7,1.1,2019-01-02
17,Cardiff City,58.9,1.6,1.0,2019-01-02
18,Fulham,58.5,1.7,1.1,2019-01-02
19,Huddersfield,58.0,1.5,0.9,2019-01-02
