,team,spi,off,def,date
0,Man City,94.2,3.1,0.2,2019-03-06
1,Liverpool,92.8,2.8,0.2,2019-03-06
2,Tottenham,83.5,2.4,0.5,2019-03-06
3,Chelsea,83.9,2.3,0.5,2019-03-06
4,Arsenal,81.3,2.4,0.7,2019-03-06
5,Man United,80.5,2.4,0.7,2019-03-06
6,Watford,69.6,2.0,0.9,2019-03-06
7,Wolves,70.4,1.9,0.8,2019-03-06
8,West Ham,67.1,1.9,0.9,2019-03-06
9,Everton,70.6,1.8,0.7,2019-03-06
10,Leicester,71.7,1.9,0.8,2019-03-06
11,Bournemouth,64.8,1.9,1.0,2019-03-06
12,Crystal Palace,71.9,1.9,0.8,2019-03-06
13,Newcastle,65.7,1.7,0.8,2019-03-06
14,Brighton,62.4,1.7,0.9,2019-03-06
15,Burnley,63.9,1.8,1.0,2019-03-06
16,Southamon,65.1,1.8,0.9,2019-03-06
17,Cardiff City,55.2,1.5,1.1,2019-03-06
18,Fulham,57.2,1.7,1.2,2019-03-06
19,Huddersfield,55.5,1.4,0.9,2019-03-06
