,team,spi,off,def,date
0,Liverpool,91.9,2.9,0.3,2019-01-30
1,Man City,92.6,3.0,0.3,2019-01-30
2,Tottenham,85.3,2.5,0.5,2019-01-30
3,Chelsea,83.2,2.3,0.5,2019-01-30
4,Arsenal,79.4,2.4,0.7,2019-01-30
5,Man United,79.7,2.4,0.7,2019-01-30
6,Wolves,70.2,1.8,0.7,2019-01-30
7,Watford,69.9,2.0,0.9,2019-01-30
8,Leicester,71.4,1.9,0.7,2019-01-30
9,Everton,71.4,1.9,0.8,2019-01-30
10,Bournemouth,67.1,2.0,1.0,2019-01-30
11,West Ham,65.3,1.8,0.9,2019-01-30
12,Crystal Palace,71.5,1.8,0.7,2019-01-30
13,Brighton,61.2,1.7,1.0,2019-01-30
14,Southamon,66.8,1.8,0.9,2019-01-30
15,Newcastle,65.6,1.7,0.8,2019-01-30
16,Burnley,61.1,1.7,1.0,2019-01-30
17,Cardiff City,57.0,1.5,1.1,2019-01-30
18,Fulham,59.2,1.7,1.1,2019-01-30
19,Huddersfield,58.6,1.4,0.9,2019-01-30
