,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-14,Home,L,1,2,Brighton,1.5,1.0,37.0,Burnley
1,2021-08-21,Away,L,0,2,Liverpool,0.9,2.7,35.0,Burnley
3,2021-08-29,Home,D,1,1,Leeds United,1.0,1.2,36.0,Burnley
4,2021-09-13,Away,L,1,3,Everton,1.0,1.4,48.0,Burnley
5,2021-09-18,Home,L,0,1,Arsenal,1.0,1.1,46.0,Burnley
7,2021-09-25,Away,D,2,2,Leicester City,0.5,2.4,34.0,Burnley
8,2021-10-02,Home,D,0,0,Norwich City,1.2,0.6,56.0,Burnley
9,2021-10-16,Away,L,0,2,Manchester City,0.9,2.1,30.0,Burnley
10,2021-10-23,Away,D,2,2,Southampton,0.7,1.6,39.0,Burnley
12,2021-10-30,Home,W,3,1,Brentford,2.3,0.8,41.0,Burnley
13,2021-11-06,Away,D,1,1,Chelsea,0.7,1.8,30.0,Burnley
14,2021-11-20,Home,D,3,3,Crystal Palace,1.5,1.9,40.0,Burnley
15,2021-12-01,Away,D,0,0,Wolves,0.2,0.7,35.0,Burnley
16,2021-12-04,Away,L,0,1,Newcastle Utd,0.6,1.0,52.0,Burnley
17,2021-12-12,Home,D,0,0,West Ham,0.8,0.8,40.0,Burnley
18,2021-12-30,Away,L,1,3,Manchester Utd,1.1,2.4,43.0,Burnley
19,2022-01-02,Away,L,1,3,Leeds United,1.0,1.9,45.0,Burnley
21,2022-01-23,Away,D,0,0,Arsenal,0.4,1.2,25.0,Burnley
22,2022-02-05,Home,D,0,0,Watford,0.6,0.8,53.0,Burnley
23,2022-02-08,Home,D,1,1,Manchester Utd,0.4,1.8,37.0,Burnley
24,2022-02-13,Home,L,0,1,Liverpool,1.5,1.7,34.0,Burnley
25,2022-02-19,Away,W,3,0,Brighton,0.7,0.6,32.0,Burnley
26,2022-02-23,Home,W,1,0,Tottenham,0.9,0.7,34.0,Burnley
27,2022-02-26,Away,D,1,1,Crystal Palace,0.2,1.0,41.0,Burnley
28,2022-03-01,Home,L,0,2,Leicester City,0.9,1.5,45.0,Burnley
29,2022-03-05,Home,L,0,4,Chelsea,0.7,2.3,28.0,Burnley
30,2022-03-12,Away,L,0,2,Brentford,0.7,1.9,45.0,Burnley
31,2022-04-02,Home,L,0,2,Manchester City,0.1,1.8,24.0,Burnley
32,2022-04-06,Home,W,3,2,Everton,2.0,2.4,52.0,Burnley
33,2022-04-10,Away,L,0,2,Norwich City,1.7,1.7,55.0,Burnley
34,2022-04-17,Away,D,1,1,West Ham,1.8,2.2,39.0,Burnley
35,2022-04-21,Home,W,2,0,Southampton,1.5,0.9,44.0,Burnley
36,2022-04-24,Home,W,1,0,Wolves,1.4,0.6,36.0,Burnley
37,2022-04-30,Away,W,2,1,Watford,1.6,1.0,53.0,Burnley
38,2022-05-07,Home,L,1,3,Aston Villa,1.9,2.1,49.0,Burnley
39,2022-05-15,Away,L,0,1,Tottenham,0.7,2.2,32.0,Burnley
40,2022-05-19,Away,D,1,1,Aston Villa,1.6,1.5,29.0,Burnley
41,2022-05-22,Home,L,1,2,Newcastle Utd,1.6,1.8,52.0,Burnley
