,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-14,Away,L,0,3,Chelsea,0.2,0.7,38.0,Crystal Palace
1,2021-08-21,Home,D,0,0,Brentford,0.5,0.9,53.0,Crystal Palace
3,2021-08-28,Away,D,2,2,West Ham,1.1,1.3,53.0,Crystal Palace
4,2021-09-11,Home,W,3,0,Tottenham,2.1,0.1,62.0,Crystal Palace
5,2021-09-18,Away,L,0,3,Liverpool,0.6,3.1,41.0,Crystal Palace
6,2021-09-27,Home,D,1,1,Brighton,1.4,0.8,47.0,Crystal Palace
7,2021-10-03,Home,D,2,2,Leicester City,1.5,1.2,60.0,Crystal Palace
8,2021-10-18,Away,D,2,2,Arsenal,0.7,1.7,46.0,Crystal Palace
9,2021-10-23,Home,D,1,1,Newcastle Utd,1.9,0.3,74.0,Crystal Palace
10,2021-10-30,Away,W,2,0,Manchester City,0.7,0.7,32.0,Crystal Palace
11,2021-11-06,Home,W,2,0,Wolves,1.9,0.3,60.0,Crystal Palace
12,2021-11-20,Away,D,3,3,Burnley,1.9,1.5,60.0,Crystal Palace
13,2021-11-27,Home,L,1,2,Aston Villa,1.0,0.5,64.0,Crystal Palace
14,2021-11-30,Away,L,0,1,Leeds United,1.1,1.4,39.0,Crystal Palace
15,2021-12-05,Away,L,0,1,Manchester Utd,0.5,0.9,39.0,Crystal Palace
16,2021-12-12,Home,W,3,1,Everton,1.8,1.0,61.0,Crystal Palace
17,2021-12-15,Home,D,2,2,Southampton,1.2,0.6,59.0,Crystal Palace
18,2021-12-26,Away,L,0,3,Tottenham,0.2,2.3,40.0,Crystal Palace
19,2021-12-28,Home,W,3,0,Norwich City,1.9,0.9,51.0,Crystal Palace
20,2022-01-01,Home,L,2,3,West Ham,2.4,2.2,62.0,Crystal Palace
22,2022-01-14,Away,D,1,1,Brighton,0.2,2.0,37.0,Crystal Palace
23,2022-01-23,Home,L,1,3,Liverpool,2.2,1.9,43.0,Crystal Palace
25,2022-02-09,Away,D,1,1,Norwich City,1.3,0.4,70.0,Crystal Palace
26,2022-02-12,Away,D,0,0,Brentford,0.3,1.6,58.0,Crystal Palace
27,2022-02-19,Home,L,0,1,Chelsea,0.5,0.9,42.0,Crystal Palace
28,2022-02-23,Away,W,4,1,Watford,1.1,1.4,54.0,Crystal Palace
29,2022-02-26,Home,D,1,1,Burnley,1.0,0.2,59.0,Crystal Palace
31,2022-03-05,Away,W,2,0,Wolves,2.7,0.7,37.0,Crystal Palace
32,2022-03-14,Home,D,0,0,Manchester City,0.6,2.8,27.0,Crystal Palace
34,2022-04-04,Home,W,3,0,Arsenal,1.5,0.8,32.0,Crystal Palace
35,2022-04-10,Away,L,1,2,Leicester City,1.4,1.0,49.0,Crystal Palace
37,2022-04-20,Away,L,0,1,Newcastle Utd,0.5,0.9,63.0,Crystal Palace
38,2022-04-25,Home,D,0,0,Leeds United,1.9,0.5,53.0,Crystal Palace
39,2022-04-30,Away,W,2,1,Southampton,1.1,0.6,62.0,Crystal Palace
40,2022-05-07,Home,W,1,0,Watford,2.2,0.4,67.0,Crystal Palace
41,2022-05-15,Away,D,1,1,Aston Villa,1.4,1.0,51.0,Crystal Palace
42,2022-05-19,Away,L,2,3,Everton,1.1,0.8,57.0,Crystal Palace
43,2022-05-22,Home,W,1,0,Manchester Utd,0.6,0.7,39.0,Crystal Palace
