,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2021-08-14,Away,L,1,5,Manchester Utd,0.5,1.5,51.0,Leeds United
1,2021-08-21,Home,D,2,2,Everton,1.2,1.8,69.0,Leeds United
3,2021-08-29,Away,D,1,1,Burnley,1.2,1.0,64.0,Leeds United
4,2021-09-12,Home,L,0,3,Liverpool,1.2,4.3,44.0,Leeds United
5,2021-09-17,Away,D,1,1,Newcastle Utd,1.5,1.3,65.0,Leeds United
7,2021-09-25,Home,L,1,2,West Ham,1.2,1.6,53.0,Leeds United
8,2021-10-02,Home,W,1,0,Watford,1.3,0.2,66.0,Leeds United
9,2021-10-16,Away,L,0,1,Southampton,0.2,1.9,54.0,Leeds United
10,2021-10-23,Home,D,1,1,Wolves,1.6,0.9,62.0,Leeds United
12,2021-10-31,Away,W,2,1,Norwich City,0.7,0.8,52.0,Leeds United
13,2021-11-07,Home,D,1,1,Leicester City,1.3,0.7,56.0,Leeds United
14,2021-11-21,Away,L,1,2,Tottenham,1.4,2.1,57.0,Leeds United
15,2021-11-27,Away,D,0,0,Brighton,0.6,2.1,43.0,Leeds United
16,2021-11-30,Home,W,1,0,Crystal Palace,1.4,1.1,61.0,Leeds United
17,2021-12-05,Home,D,2,2,Brentford,1.2,1.0,63.0,Leeds United
18,2021-12-11,Away,L,2,3,Chelsea,1.4,2.5,43.0,Leeds United
19,2021-12-14,Away,L,0,7,Manchester City,0.3,3.1,37.0,Leeds United
20,2021-12-18,Home,L,1,4,Arsenal,1.6,3.5,51.0,Leeds United
21,2022-01-02,Home,W,3,1,Burnley,1.9,1.0,55.0,Leeds United
23,2022-01-16,Away,W,3,2,West Ham,2.2,2.4,52.0,Leeds United
24,2022-01-22,Home,L,0,1,Newcastle Utd,0.7,0.9,62.0,Leeds United
25,2022-02-09,Away,D,3,3,Aston Villa,1.8,1.6,60.0,Leeds United
26,2022-02-12,Away,L,0,3,Everton,0.3,2.7,58.0,Leeds United
27,2022-02-20,Home,L,2,4,Manchester Utd,1.8,2.2,54.0,Leeds United
28,2022-02-23,Away,L,0,6,Liverpool,0.2,5.9,37.0,Leeds United
29,2022-02-26,Home,L,0,4,Tottenham,1.5,1.9,50.0,Leeds United
30,2022-03-05,Away,L,0,1,Leicester City,1.7,0.4,49.0,Leeds United
31,2022-03-10,Home,L,0,3,Aston Villa,0.2,1.5,51.0,Leeds United
32,2022-03-13,Home,W,2,1,Norwich City,2.5,1.5,52.0,Leeds United
33,2022-03-18,Away,W,3,2,Wolves,2.0,1.2,52.0,Leeds United
34,2022-04-02,Home,D,1,1,Southampton,1.2,1.4,56.0,Leeds United
35,2022-04-09,Away,W,3,0,Watford,0.7,1.1,51.0,Leeds United
36,2022-04-25,Away,D,0,0,Crystal Palace,0.5,1.9,47.0,Leeds United
37,2022-04-30,Home,L,0,4,Manchester City,1.3,2.4,42.0,Leeds United
38,2022-05-08,Away,L,1,2,Arsenal,0.3,2.0,36.0,Leeds United
39,2022-05-11,Home,L,0,3,Chelsea,0.4,1.3,33.0,Leeds United
40,2022-05-15,Home,D,1,1,Brighton,1.6,2.2,50.0,Leeds United
41,2022-05-22,Away,W,2,1,Brentford,1.3,0.8,51.0,Leeds United
