,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
1,2021-08-14,Home,W,1,0,Wolves,0.5,1.3,56.0,Leicester City
2,2021-08-23,Away,L,1,4,West Ham,0.6,2.3,48.0,Leicester City
3,2021-08-28,Away,W,2,1,Norwich City,1.5,1.5,55.0,Leicester City
4,2021-09-11,Home,L,0,1,Manchester City,0.6,2.8,39.0,Leicester City
6,2021-09-19,Away,L,1,2,Brighton,1.6,1.7,63.0,Leicester City
8,2021-09-25,Home,D,2,2,Burnley,2.4,0.5,66.0,Leicester City
10,2021-10-03,Away,D,2,2,Crystal Palace,1.2,1.5,40.0,Leicester City
11,2021-10-16,Home,W,4,2,Manchester Utd,2.4,1.2,49.0,Leicester City
13,2021-10-24,Away,W,2,1,Brentford,1.5,1.0,46.0,Leicester City
15,2021-10-30,Home,L,0,2,Arsenal,1.3,0.7,64.0,Leicester City
17,2021-11-07,Away,D,1,1,Leeds United,0.7,1.3,44.0,Leicester City
18,2021-11-20,Home,L,0,3,Chelsea,0.4,2.0,39.0,Leicester City
20,2021-11-28,Home,W,4,2,Watford,2.1,2.8,56.0,Leicester City
21,2021-12-01,Away,D,2,2,Southampton,1.5,1.5,55.0,Leicester City
22,2021-12-05,Away,L,1,2,Aston Villa,1.1,2.1,59.0,Leicester City
24,2021-12-12,Home,W,4,0,Newcastle Utd,2.6,1.0,47.0,Leicester City
26,2021-12-26,Away,L,3,6,Manchester City,2.7,3.6,28.0,Leicester City
27,2021-12-28,Home,W,1,0,Liverpool,0.4,2.3,37.0,Leicester City
29,2022-01-19,Home,L,2,3,Tottenham,1.2,3.1,49.0,Leicester City
30,2022-01-23,Home,D,1,1,Brighton,1.4,1.1,44.0,Leicester City
32,2022-02-10,Away,L,0,2,Liverpool,0.5,1.8,36.0,Leicester City
33,2022-02-13,Home,D,2,2,West Ham,1.4,1.1,55.0,Leicester City
35,2022-02-20,Away,L,1,2,Wolves,1.7,0.5,63.0,Leicester City
37,2022-03-01,Away,W,2,0,Burnley,1.5,0.9,55.0,Leicester City
38,2022-03-05,Home,W,1,0,Leeds United,0.4,1.7,51.0,Leicester City
40,2022-03-13,Away,L,0,2,Arsenal,0.4,2.4,54.0,Leicester City
42,2022-03-20,Home,W,2,1,Brentford,1.0,1.3,52.0,Leicester City
43,2022-04-02,Away,D,1,1,Manchester Utd,0.8,0.9,46.0,Leicester City
45,2022-04-10,Home,W,2,1,Crystal Palace,1.0,1.4,51.0,Leicester City
47,2022-04-17,Away,L,1,2,Newcastle Utd,0.6,1.8,68.0,Leicester City
48,2022-04-20,Away,D,1,1,Everton,0.9,1.8,63.0,Leicester City
49,2022-04-23,Home,D,0,0,Aston Villa,0.3,0.9,64.0,Leicester City
51,2022-05-01,Away,L,1,3,Tottenham,0.5,1.2,60.0,Leicester City
53,2022-05-08,Home,L,1,2,Everton,1.5,1.1,66.0,Leicester City
54,2022-05-11,Home,W,3,0,Norwich City,2.0,1.1,65.0,Leicester City
55,2022-05-15,Away,W,5,1,Watford,2.5,1.4,59.0,Leicester City
56,2022-05-19,Away,D,1,1,Chelsea,0.1,1.6,33.0,Leicester City
57,2022-05-22,Home,W,4,1,Southampton,3.4,1.1,51.0,Leicester City
