,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,34,29,3,2,98,25,73,90,2.4,2018-04-22,MCI,2017
2,2,Manchester United,34,23,5,6,65,26,39,74,2.4,2018-04-18,MUN,2017
4,3,Liverpool,35,20,11,4,80,37,43,71,2.2,2018-04-21,LIV,2017
6,4,Tottenham Hotspur,34,20,8,6,66,31,35,68,2.0,2018-04-17,TOT,2017
8,5,Chelsea,34,19,6,9,59,34,25,63,2.0,2018-04-19,CHE,2017
10,6,Arsenal,34,17,6,11,66,46,20,57,2.4,2018-04-22,ARS,2017
12,7,Burnley,35,14,11,10,35,32,3,53,2.0,2018-04-22,BUR,2017
14,8,Everton,35,12,9,14,40,54,-14,45,1.6,2018-04-23,EVE,2017
16,9,Leicester City,34,11,11,12,49,47,2,44,1.4,2018-04-19,LEI,2017
18,10,Newcastle United,34,11,8,15,35,43,-8,41,2.4,2018-04-23,NEW,2017
20,11,Bournemouth,35,9,11,15,41,58,-17,38,1.0,2018-04-18,BOU,2017
22,12,Watford,35,10,8,17,42,60,-18,38,0.4,2018-04-21,WAT,2017
24,13,Brighton and Hove Albion,34,8,12,14,32,47,-15,36,0.4,2018-04-17,BHA,2017
26,14,Crystal Palace,35,8,11,16,36,54,-18,35,1.6,2018-04-21,CRY,2017
28,15,West Ham United,34,8,11,15,42,63,-21,35,1.0,2018-04-22,WHU,2017
30,16,Huddersfield Town,34,9,8,17,27,54,-27,35,1.0,2018-04-14,HUD,2017
32,17,Swansea City,34,8,9,17,27,51,-24,33,0.6,2018-04-22,SWA,2017
34,18,Southampton,34,5,14,15,33,53,-20,29,0.2,2018-04-19,SOU,2017
36,19,Stoke City,35,6,11,18,32,65,-33,29,0.4,2018-04-22,STK,2017
38,20,West Bromwich Albion,35,4,13,18,29,54,-25,25,1.0,2018-04-21,WBA,2017
