,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,33,28,3,2,93,25,68,87,2.4,2018-04-14,MCI,2017
2,2,Manchester United,34,23,5,6,65,26,39,74,2.4,2018-04-18,MUN,2017
4,3,Liverpool,34,20,10,4,78,35,43,70,2.0,2018-04-14,LIV,2017
6,4,Tottenham Hotspur,34,20,8,6,66,31,35,68,2.0,2018-04-17,TOT,2017
8,5,Chelsea,34,19,6,9,59,34,25,63,2.0,2018-04-19,CHE,2017
10,6,Arsenal,33,16,6,11,62,45,17,54,1.8,2018-04-15,ARS,2017
12,7,Burnley,34,14,10,10,34,31,3,52,2.4,2018-04-19,BUR,2017
14,8,Leicester City,34,11,11,12,49,47,2,44,1.4,2018-04-19,LEI,2017
16,9,Everton,34,11,9,14,39,54,-15,42,1.6,2018-04-14,EVE,2017
18,10,Newcastle United,33,11,8,14,35,42,-7,41,2.4,2018-04-15,NEW,2017
20,11,Bournemouth,35,9,11,15,41,58,-17,38,1.0,2018-04-18,BOU,2017
22,12,Watford,34,10,7,17,42,60,-18,37,0.2,2018-04-14,WAT,2017
24,13,Brighton and Hove Albion,34,8,12,14,32,47,-15,36,0.4,2018-04-17,BHA,2017
26,14,West Ham United,33,8,11,14,41,59,-18,35,1.0,2018-04-16,WHU,2017
28,15,Huddersfield Town,34,9,8,17,27,54,-27,35,1.0,2018-04-14,HUD,2017
30,16,Crystal Palace,34,8,10,16,36,54,-18,34,1.4,2018-04-14,CRY,2017
32,17,Swansea City,33,8,9,16,27,46,-19,33,1.2,2018-04-14,SWA,2017
34,18,Southampton,34,5,14,15,33,53,-20,29,0.2,2018-04-19,SOU,2017
36,19,Stoke City,34,6,10,18,31,64,-33,28,0.2,2018-04-16,STK,2017
38,20,West Bromwich Albion,34,4,12,18,27,52,-25,24,0.8,2018-04-15,WBA,2017
