,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,26,22,3,1,74,19,55,69,2.0,2018-02-03,MCI,2017
2,2,Manchester United,26,17,5,4,51,18,33,56,2.4,2018-02-03,MUN,2017
4,3,Liverpool,26,14,9,3,59,31,28,51,2.0,2018-02-04,LIV,2017
6,4,Chelsea,26,15,5,6,46,23,23,50,1.0,2018-02-05,CHE,2017
8,5,Tottenham Hotspur,26,14,7,5,51,24,27,49,1.8,2018-02-04,TOT,2017
10,6,Arsenal,26,13,6,7,51,35,16,45,1.4,2018-02-03,ARS,2017
12,7,Burnley,26,9,9,8,21,23,-2,36,0.4,2018-02-03,BUR,2017
14,8,Leicester City,26,9,8,9,38,35,3,35,1.6,2018-02-03,LEI,2017
16,9,Bournemouth,26,8,7,11,30,37,-7,31,2.2,2018-02-03,BOU,2017
18,10,Everton,26,8,7,11,29,45,-16,31,0.8,2018-02-03,EVE,2017
20,11,Watford,26,8,6,12,37,45,-8,30,1.0,2018-02-05,WAT,2017
22,12,West Ham United,26,6,9,11,32,46,-14,27,1.2,2018-02-03,WHU,2017
24,13,Brighton and Hove Albion,26,6,9,11,21,35,-14,27,1.0,2018-02-03,BHA,2017
26,14,Crystal Palace,26,6,9,11,24,39,-15,27,1.6,2018-02-04,CRY,2017
28,15,Southampton,26,5,11,10,28,38,-10,26,1.2,2018-02-03,SOU,2017
30,16,Newcastle United,26,6,7,13,24,36,-12,25,1.2,2018-02-04,NEW,2017
32,17,Swansea City,26,6,6,14,19,37,-18,24,1.6,2018-02-03,SWA,2017
34,18,Stoke City,26,6,6,14,26,52,-26,24,0.8,2018-02-03,STK,2017
36,19,Huddersfield Town,26,6,6,14,19,46,-27,24,0.0,2018-02-03,HUD,2017
38,20,West Bromwich Albion,26,3,11,12,21,37,-16,20,0.8,2018-02-03,WBA,2017
