,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,30,26,3,1,85,20,65,81,2.6,2018-03-12,MCI,2017
2,2,Manchester United,30,20,5,5,58,23,35,65,2.4,2018-03-10,MUN,2017
4,3,Liverpool,31,18,9,4,73,34,39,63,2.4,2018-03-17,LIV,2017
6,4,Tottenham Hotspur,30,18,7,5,59,25,34,61,2.6,2018-03-11,TOT,2017
8,5,Chelsea,30,17,5,8,52,27,25,56,1.2,2018-03-10,CHE,2017
10,6,Arsenal,30,14,6,10,55,41,14,48,1.2,2018-03-11,ARS,2017
12,7,Burnley,30,11,10,9,27,26,1,43,1.6,2018-03-10,BUR,2017
14,8,Leicester City,30,10,10,10,45,43,2,40,1.2,2018-03-10,LEI,2017
16,9,Everton,31,11,7,13,37,50,-13,40,1.8,2018-03-17,EVE,2017
18,10,Bournemouth,31,9,9,13,37,49,-12,36,1.0,2018-03-17,BOU,2017
20,11,Watford,31,10,6,15,39,55,-16,36,1.2,2018-03-17,WAT,2017
22,12,Brighton and Hove Albion,30,8,10,12,28,40,-12,34,2.0,2018-03-10,BHA,2017
24,13,Newcastle United,30,8,8,14,30,40,-10,32,1.6,2018-03-10,NEW,2017
26,14,Swansea City,30,8,7,15,25,42,-17,31,1.6,2018-03-10,SWA,2017
28,15,Huddersfield Town,31,8,7,16,25,52,-27,31,1.4,2018-03-17,HUD,2017
30,16,Crystal Palace,31,7,9,15,30,48,-18,30,0.6,2018-03-17,CRY,2017
32,17,West Ham United,30,7,9,14,36,57,-21,30,0.6,2018-03-10,WHU,2017
34,18,Southampton,30,5,13,12,29,44,-15,28,1.0,2018-03-10,SOU,2017
36,19,Stoke City,31,6,9,16,29,58,-29,27,0.6,2018-03-17,STK,2017
38,20,West Bromwich Albion,31,3,11,17,24,49,-25,20,0.0,2018-03-17,WBA,2017
