,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,35,30,3,2,102,26,76,93,2.4,2018-04-29,MCI,2017
2,2,Manchester United,35,24,5,6,67,27,40,77,2.4,2018-04-29,MUN,2017
4,3,Liverpool,36,20,12,4,80,37,43,72,1.8,2018-04-28,LIV,2017
6,4,Tottenham Hotspur,35,21,8,6,68,31,37,71,2.0,2018-04-30,TOT,2017
8,5,Chelsea,35,20,6,9,60,34,26,66,2.0,2018-04-28,CHE,2017
10,6,Arsenal,35,17,6,12,67,48,19,57,1.8,2018-04-29,ARS,2017
12,7,Burnley,36,14,12,10,35,32,3,54,1.6,2018-04-28,BUR,2017
14,8,Everton,36,13,9,14,42,54,-12,48,1.6,2018-04-28,EVE,2017
16,9,Leicester City,35,11,11,13,49,52,-3,44,0.8,2018-04-28,LEI,2017
18,10,Newcastle United,35,11,8,16,35,44,-9,41,1.8,2018-04-28,NEW,2017
20,11,Crystal Palace,36,9,11,16,41,54,-13,38,1.6,2018-04-28,CRY,2017
22,12,Bournemouth,36,9,11,16,42,60,-18,38,0.4,2018-04-28,BOU,2017
24,13,Watford,36,10,8,18,42,62,-20,38,0.4,2018-04-30,WAT,2017
26,14,Brighton and Hove Albion,35,8,13,14,32,47,-15,37,0.6,2018-04-28,BHA,2017
28,15,West Ham United,35,8,11,16,43,67,-24,35,1.0,2018-04-29,WHU,2017
30,16,Huddersfield Town,35,9,8,18,27,56,-29,35,0.8,2018-04-28,HUD,2017
32,17,Swansea City,35,8,9,18,27,52,-25,33,0.4,2018-04-28,SWA,2017
34,18,Southampton,35,6,14,15,35,54,-19,32,0.8,2018-04-28,SOU,2017
36,19,Stoke City,36,6,12,18,32,65,-33,30,0.6,2018-04-28,STK,2017
38,20,West Bromwich Albion,36,5,13,18,30,54,-24,28,1.6,2018-04-28,WBA,2017
