,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,21,19,2,0,61,12,49,59,2.6,2017-12-31,MCI,2017
2,2,Chelsea,21,14,3,4,39,14,25,45,2.6,2017-12-30,CHE,2017
4,3,Manchester United,21,13,5,3,43,16,27,44,1.8,2017-12-30,MUN,2017
6,4,Liverpool,21,11,8,2,48,24,24,41,2.2,2017-12-30,LIV,2017
8,5,Arsenal,21,11,5,5,38,26,12,38,1.8,2017-12-31,ARS,2017
10,6,Tottenham Hotspur,20,11,4,5,39,20,19,37,2.4,2017-12-26,TOT,2017
12,7,Burnley,21,9,7,5,18,17,1,34,1.2,2017-12-30,BUR,2017
14,8,Leicester City,21,7,6,8,31,32,-1,27,0.8,2017-12-30,LEI,2017
16,9,Everton,21,7,6,8,25,32,-7,27,1.6,2017-12-30,EVE,2017
18,10,Watford,21,7,4,10,30,37,-7,25,0.6,2017-12-30,WAT,2017
20,11,Huddersfield Town,21,6,6,9,18,32,-14,24,1.2,2017-12-30,HUD,2017
22,12,Brighton and Hove Albion,21,5,7,9,15,25,-10,22,1.0,2017-12-30,BHA,2017
24,13,Southampton,21,4,8,9,20,30,-10,20,0.4,2017-12-30,SOU,2017
26,14,Bournemouth,21,5,5,11,20,32,-12,20,0.8,2017-12-30,BOU,2017
28,15,Stoke City,21,5,5,11,23,46,-23,20,0.8,2017-12-30,STK,2017
30,16,Newcastle United,21,5,4,12,19,30,-11,19,0.8,2017-12-30,NEW,2017
32,17,Crystal Palace,21,4,7,10,18,32,-14,19,1.6,2017-12-31,CRY,2017
34,18,West Ham United,20,4,6,10,22,38,-16,18,1.6,2017-12-26,WHU,2017
36,19,West Bromwich Albion,21,2,10,9,15,28,-13,16,0.6,2017-12-31,WBA,2017
38,20,Swansea City,21,4,4,13,13,32,-19,16,0.8,2017-12-30,SWA,2017
