,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,19,18,1,0,60,12,48,55,3.0,2017-12-23,MCI,2017
2,2,Manchester United,19,13,3,3,41,14,27,42,2.0,2017-12-23,MUN,2017
4,3,Chelsea,19,12,3,4,32,14,18,39,2.0,2017-12-23,CHE,2017
6,4,Liverpool,19,9,8,2,41,23,18,35,1.8,2017-12-22,LIV,2017
8,5,Tottenham Hotspur,19,10,4,5,34,18,16,34,2.0,2017-12-23,TOT,2017
10,6,Arsenal,19,10,4,5,34,23,11,34,1.2,2017-12-22,ARS,2017
12,7,Burnley,19,9,5,5,16,15,1,32,1.4,2017-12-23,BUR,2017
14,8,Leicester City,19,7,6,6,29,28,1,27,2.0,2017-12-23,LEI,2017
16,9,Everton,19,7,5,7,24,30,-6,26,2.2,2017-12-23,EVE,2017
18,10,Watford,19,6,4,9,27,34,-7,22,0.2,2017-12-23,WAT,2017
20,11,Huddersfield Town,19,6,4,9,17,31,-14,22,1.4,2017-12-23,HUD,2017
22,12,Brighton and Hove Albion,19,5,6,8,15,23,-8,21,0.8,2017-12-23,BHA,2017
24,13,Southampton,19,4,7,8,18,25,-7,19,0.6,2017-12-23,SOU,2017
26,14,Stoke City,19,5,4,10,22,40,-18,19,1.2,2017-12-23,STK,2017
28,15,Newcastle United,19,5,3,11,19,29,-10,18,0.6,2017-12-23,NEW,2017
30,16,Crystal Palace,19,4,6,9,16,29,-13,18,1.8,2017-12-23,CRY,2017
32,17,West Ham United,19,4,5,10,19,35,-16,17,1.4,2017-12-23,WHU,2017
34,18,Bournemouth,19,4,4,11,15,28,-13,16,0.4,2017-12-23,BOU,2017
36,19,West Bromwich Albion,19,2,8,9,14,27,-13,14,0.4,2017-12-23,WBA,2017
38,20,Swansea City,19,3,4,12,11,26,-15,13,0.8,2017-12-23,SWA,2017
