,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester United,4,3,1,0,12,2,10,10,2.5,2017-09-09,MUN,2017
2,2,Manchester City,4,3,1,0,10,2,8,10,2.5,2017-09-09,MCI,2017
4,3,Chelsea,4,3,0,1,8,5,3,9,2.25,2017-09-09,CHE,2017
6,4,Watford,4,2,2,0,7,3,4,8,2.0,2017-09-09,WAT,2017
8,5,Tottenham Hotspur,4,2,1,1,7,3,4,7,1.75,2017-09-09,TOT,2017
10,6,Huddersfield Town,4,2,1,1,4,2,2,7,1.75,2017-09-11,HUD,2017
12,7,Burnley,4,2,1,1,5,4,1,7,1.75,2017-09-10,BUR,2017
14,8,Liverpool,4,2,1,1,8,8,0,7,1.75,2017-09-09,LIV,2017
16,9,West Bromwich Albion,4,2,1,1,4,4,0,7,1.75,2017-09-09,WBA,2017
18,10,Newcastle United,4,2,0,2,4,3,1,6,1.5,2017-09-10,NEW,2017
20,11,Arsenal,4,2,0,2,7,8,-1,6,1.5,2017-09-09,ARS,2017
22,12,Stoke City,4,1,2,1,4,4,0,5,1.25,2017-09-09,STK,2017
24,13,Southampton,4,1,2,1,3,4,-1,5,1.25,2017-09-09,SOU,2017
26,14,Brighton and Hove Albion,4,1,1,2,3,5,-2,4,1.0,2017-09-09,BHA,2017
28,15,Swansea City,4,1,1,2,2,5,-3,4,1.0,2017-09-10,SWA,2017
30,16,Everton,4,1,1,2,2,6,-4,4,1.0,2017-09-09,EVE,2017
32,17,Leicester City,4,1,0,3,6,8,-2,3,0.75,2017-09-09,LEI,2017
34,18,West Ham United,4,1,0,3,4,10,-6,3,0.75,2017-09-11,WHU,2017
36,19,Bournemouth,4,0,0,4,1,8,-7,0,0.0,2017-09-09,BOU,2017
38,20,Crystal Palace,4,0,0,4,0,7,-7,0,0.0,2017-09-10,CRY,2017
