,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,10,9,1,0,35,6,29,28,3.0,2017-10-28,MCI,2017
2,2,Manchester United,10,7,2,1,23,4,19,23,2.0,2017-10-28,MUN,2017
4,3,Tottenham Hotspur,10,6,2,2,19,7,12,20,2.4,2017-10-28,TOT,2017
6,4,Chelsea,10,6,1,3,18,10,8,19,1.8,2017-10-28,CHE,2017
8,5,Arsenal,10,6,1,3,19,13,6,19,2.4,2017-10-28,ARS,2017
10,6,Liverpool,10,4,4,2,17,16,1,16,1.6,2017-10-28,LIV,2017
12,7,Burnley,10,4,4,2,9,9,0,16,1.6,2017-10-30,BUR,2017
14,8,Watford,10,4,3,3,15,18,-3,15,1.4,2017-10-28,WAT,2017
16,9,Newcastle United,10,4,2,4,10,9,1,14,1.0,2017-10-30,NEW,2017
18,10,Southampton,10,3,4,3,9,10,-1,13,1.0,2017-10-29,SOU,2017
20,11,Leicester City,10,3,3,4,14,14,0,12,1.6,2017-10-29,LEI,2017
22,12,Brighton and Hove Albion,10,3,3,4,10,11,-1,12,1.6,2017-10-29,BHA,2017
24,13,Huddersfield Town,10,3,3,4,7,13,-6,12,0.8,2017-10-28,HUD,2017
26,14,Stoke City,10,3,2,5,11,20,-9,11,1.2,2017-10-28,STK,2017
28,15,West Bromwich Albion,10,2,4,4,9,13,-4,10,0.4,2017-10-28,WBA,2017
30,16,West Ham United,10,2,3,5,10,19,-9,9,1.0,2017-10-28,WHU,2017
32,17,Swansea City,10,2,2,6,7,12,-5,8,0.6,2017-10-28,SWA,2017
34,18,Everton,10,2,2,6,7,20,-13,8,0.8,2017-10-29,EVE,2017
36,19,Bournemouth,10,2,1,7,6,14,-8,7,0.8,2017-10-28,BOU,2017
38,20,Crystal Palace,10,1,1,8,4,21,-17,4,0.8,2017-10-28,CRY,2017
