,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,28,24,3,1,82,20,62,75,2.6,2018-03-01,MCI,2017
2,2,Manchester United,28,18,5,5,53,20,33,59,1.8,2018-02-25,MUN,2017
4,3,Liverpool,28,16,9,3,65,32,33,57,2.0,2018-02-24,LIV,2017
6,4,Tottenham Hotspur,28,16,7,5,53,24,29,55,2.2,2018-02-25,TOT,2017
8,5,Chelsea,28,16,5,7,50,25,25,53,1.2,2018-02-25,CHE,2017
10,6,Arsenal,28,13,6,9,51,39,12,45,1.2,2018-03-01,ARS,2017
12,7,Burnley,28,9,10,9,22,25,-3,37,0.6,2018-02-24,BUR,2017
14,8,Leicester City,28,9,9,10,40,41,-1,36,1.0,2018-02-24,LEI,2017
16,9,Everton,28,9,7,12,32,47,-15,34,1.4,2018-02-24,EVE,2017
18,10,Watford,28,9,6,13,38,47,-9,33,1.4,2018-02-24,WAT,2017
20,11,Bournemouth,28,8,8,12,33,43,-10,32,1.6,2018-02-24,BOU,2017
22,12,Brighton and Hove Albion,28,7,10,11,26,37,-11,31,1.6,2018-02-24,BHA,2017
24,13,West Ham United,28,7,9,12,35,50,-15,30,1.0,2018-02-24,WHU,2017
26,14,Huddersfield Town,28,8,6,14,25,48,-23,30,1.2,2018-02-24,HUD,2017
28,15,Newcastle United,28,7,8,13,27,38,-11,29,1.2,2018-02-24,NEW,2017
30,16,Southampton,28,5,12,11,29,41,-12,27,1.2,2018-02-24,SOU,2017
32,17,Crystal Palace,28,6,9,13,25,43,-18,27,0.4,2018-02-25,CRY,2017
34,18,Swansea City,28,7,6,15,21,41,-20,27,2.0,2018-02-24,SWA,2017
36,19,Stoke City,28,6,8,14,28,54,-26,26,1.2,2018-02-24,STK,2017
38,20,West Bromwich Albion,28,3,11,14,22,42,-20,20,0.2,2018-02-24,WBA,2017
