,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,16,15,1,0,48,11,37,46,3.0,2017-12-10,MCI,2017
2,2,Manchester United,16,11,2,3,36,11,25,35,2.4,2017-12-10,MUN,2017
4,3,Chelsea,16,10,2,4,28,13,15,32,2.0,2017-12-09,CHE,2017
6,4,Liverpool,16,8,6,2,34,20,14,30,2.2,2017-12-10,LIV,2017
8,5,Arsenal,16,9,2,5,30,20,10,29,2.0,2017-12-10,ARS,2017
10,6,Tottenham Hotspur,16,8,4,4,28,14,14,28,1.0,2017-12-09,TOT,2017
12,7,Burnley,16,8,4,4,15,12,3,28,1.8,2017-12-09,BUR,2017
14,8,Leicester City,16,6,5,5,23,22,1,23,2.0,2017-12-09,LEI,2017
16,9,Watford,16,6,4,6,25,27,-2,22,1.4,2017-12-09,WAT,2017
18,10,Everton,16,5,4,7,20,29,-9,19,1.6,2017-12-10,EVE,2017
20,11,Southampton,16,4,6,6,16,19,-3,18,1.0,2017-12-10,SOU,2017
22,12,Huddersfield Town,16,5,3,8,11,26,-15,18,0.6,2017-12-09,HUD,2017
24,13,Brighton and Hove Albion,16,4,5,7,14,21,-7,17,0.4,2017-12-09,BHA,2017
26,14,Bournemouth,16,4,4,8,15,19,-4,16,1.2,2017-12-09,BOU,2017
28,15,Stoke City,16,4,4,8,19,35,-16,16,0.8,2017-12-09,STK,2017
30,16,Newcastle United,16,4,3,9,16,25,-9,15,0.2,2017-12-09,NEW,2017
32,17,West Bromwich Albion,16,2,7,7,12,22,-10,13,0.6,2017-12-09,WBA,2017
34,18,West Ham United,16,3,4,9,14,32,-18,13,0.8,2017-12-09,WHU,2017
36,19,Swansea City,16,3,3,10,9,18,-9,12,0.8,2017-12-09,SWA,2017
38,20,Crystal Palace,16,2,5,9,10,27,-17,11,1.4,2017-12-09,CRY,2017
