,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,15,14,1,0,46,10,36,43,3.0,2017-12-03,MCI,2017
2,2,Manchester United,15,11,2,2,35,9,26,35,2.4,2017-12-02,MUN,2017
4,3,Chelsea,15,10,2,3,28,12,16,32,2.6,2017-12-02,CHE,2017
6,4,Liverpool,15,8,5,2,33,19,14,29,2.6,2017-12-02,LIV,2017
8,5,Arsenal,15,9,1,5,29,19,10,28,1.8,2017-12-02,ARS,2017
10,6,Tottenham Hotspur,15,7,4,4,23,13,10,25,1.0,2017-12-02,TOT,2017
12,7,Burnley,15,7,4,4,14,12,2,25,1.8,2017-12-02,BUR,2017
14,8,Watford,15,6,4,5,25,26,-1,22,1.4,2017-12-02,WAT,2017
16,9,Leicester City,15,5,5,5,20,20,0,20,1.6,2017-12-02,LEI,2017
18,10,Everton,15,5,3,7,19,28,-9,18,2.0,2017-12-02,EVE,2017
20,11,Southampton,15,4,5,6,15,18,-3,17,0.8,2017-12-03,SOU,2017
22,12,Brighton and Hove Albion,15,4,5,6,14,19,-5,17,1.0,2017-12-02,BHA,2017
24,13,Stoke City,15,4,4,7,18,30,-12,16,1.0,2017-12-02,STK,2017
26,14,Bournemouth,15,4,3,8,13,17,-4,15,1.6,2017-12-03,BOU,2017
28,15,Newcastle United,15,4,3,8,14,22,-8,15,0.2,2017-12-02,NEW,2017
30,16,Huddersfield Town,15,4,3,8,9,26,-17,15,0.6,2017-12-02,HUD,2017
32,17,West Bromwich Albion,15,2,7,6,12,21,-9,13,0.6,2017-12-02,WBA,2017
34,18,Crystal Palace,15,2,4,9,8,25,-17,10,1.2,2017-12-02,CRY,2017
36,19,West Ham United,15,2,4,9,13,32,-19,10,0.2,2017-12-03,WHU,2017
38,20,Swansea City,15,2,3,10,8,18,-10,9,0.2,2017-12-02,SWA,2017
