,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,11,10,1,0,38,7,31,31,3.0,2017-11-05,MCI,2017
2,2,Manchester United,11,7,2,2,23,5,18,23,1.4,2017-11-05,MUN,2017
4,3,Tottenham Hotspur,11,7,2,2,20,7,13,23,2.4,2017-11-05,TOT,2017
6,4,Chelsea,11,7,1,3,19,10,9,22,1.8,2017-11-05,CHE,2017
8,5,Liverpool,11,5,4,2,21,17,4,19,1.6,2017-11-04,LIV,2017
10,6,Arsenal,11,6,1,4,20,16,4,19,1.8,2017-11-05,ARS,2017
12,7,Burnley,11,5,4,2,10,9,1,19,2.0,2017-11-04,BUR,2017
14,8,Brighton and Hove Albion,11,4,3,4,11,11,0,15,1.6,2017-11-04,BHA,2017
16,9,Watford,11,4,3,4,17,21,-4,15,0.8,2017-11-05,WAT,2017
18,10,Huddersfield Town,11,4,3,4,8,13,-5,15,1.2,2017-11-04,HUD,2017
20,11,Newcastle United,11,4,2,5,10,10,0,14,1.0,2017-11-04,NEW,2017
22,12,Leicester City,11,3,4,4,16,16,0,13,1.8,2017-11-04,LEI,2017
24,13,Southampton,11,3,4,4,9,11,-2,13,1.0,2017-11-04,SOU,2017
26,14,Stoke City,11,3,3,5,13,22,-9,12,1.4,2017-11-04,STK,2017
28,15,Everton,11,3,2,6,10,22,-12,11,0.8,2017-11-05,EVE,2017
30,16,West Bromwich Albion,11,2,4,5,9,14,-5,10,0.4,2017-11-04,WBA,2017
32,17,Bournemouth,11,3,1,7,7,14,-7,10,1.4,2017-11-04,BOU,2017
34,18,West Ham United,11,2,3,6,11,23,-12,9,1.0,2017-11-04,WHU,2017
36,19,Swansea City,11,2,2,7,7,13,-6,8,0.6,2017-11-04,SWA,2017
38,20,Crystal Palace,11,1,1,9,4,22,-18,4,0.8,2017-11-05,CRY,2017
