,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,37,31,4,2,105,27,78,97,2.6,2018-05-09,MCI,2017
2,2,Manchester United,37,24,6,7,67,28,39,78,1.4,2018-05-10,MUN,2017
4,3,Tottenham Hotspur,37,22,8,7,69,32,37,74,1.4,2018-05-09,TOT,2017
6,4,Liverpool,37,20,12,5,80,38,42,72,1.2,2018-05-06,LIV,2017
8,5,Chelsea,37,21,7,9,62,35,27,70,2.6,2018-05-09,CHE,2017
10,6,Arsenal,37,18,6,13,73,51,22,60,1.2,2018-05-09,ARS,2017
12,7,Burnley,37,14,12,11,35,37,-2,54,1.0,2018-05-06,BUR,2017
14,8,Everton,37,13,10,14,43,55,-12,49,1.8,2018-05-05,EVE,2017
16,9,Leicester City,37,12,11,14,52,55,-3,47,0.8,2018-05-09,LEI,2017
18,10,Newcastle United,37,11,8,18,36,47,-11,41,0.6,2018-05-09,NEW,2017
20,11,Crystal Palace,37,10,11,16,43,55,-12,41,2.2,2018-05-05,CRY,2017
22,12,Bournemouth,37,10,11,16,43,60,-17,41,0.8,2018-05-05,BOU,2017
24,13,Watford,37,11,8,18,44,63,-19,41,0.8,2018-05-05,WAT,2017
26,14,Brighton and Hove Albion,37,9,13,15,34,50,-16,40,1.0,2018-05-09,BHA,2017
28,15,West Ham United,37,9,12,16,45,67,-22,39,1.0,2018-05-10,WHU,2017
30,16,Huddersfield Town,37,9,10,18,28,57,-29,37,1.2,2018-05-09,HUD,2017
32,17,Southampton,37,7,15,15,37,55,-18,36,1.6,2018-05-08,SOU,2017
34,18,Swansea City,37,8,9,20,27,54,-27,33,0.2,2018-05-08,SWA,2017
36,19,West Bromwich Albion,37,6,13,18,31,54,-23,31,2.2,2018-05-05,WBA,2017
38,20,Stoke City,37,6,12,19,33,67,-34,30,0.6,2018-05-05,STK,2017
