,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,5,4,1,0,16,2,14,13,2.6,2017-09-16,MCI,2017
2,2,Manchester United,5,4,1,0,16,2,14,13,2.6,2017-09-17,MUN,2017
4,3,Chelsea,5,3,1,1,8,5,3,10,2.0,2017-09-17,CHE,2017
6,4,Newcastle United,5,3,0,2,6,4,2,9,1.8,2017-09-16,NEW,2017
8,5,Tottenham Hotspur,5,2,2,1,7,3,4,8,1.6,2017-09-16,TOT,2017
10,6,Huddersfield Town,5,2,2,1,5,3,2,8,1.6,2017-09-16,HUD,2017
12,7,Burnley,5,2,2,1,6,5,1,8,1.6,2017-09-16,BUR,2017
14,8,Liverpool,5,2,2,1,9,9,0,8,1.6,2017-09-16,LIV,2017
16,9,Southampton,5,2,2,1,4,4,0,8,1.6,2017-09-16,SOU,2017
18,10,West Bromwich Albion,5,2,2,1,4,4,0,8,1.6,2017-09-16,WBA,2017
20,11,Watford,5,2,2,1,7,9,-2,8,1.6,2017-09-16,WAT,2017
22,12,Arsenal,5,2,1,2,7,8,-1,7,1.4,2017-09-17,ARS,2017
24,13,Stoke City,5,1,2,2,5,6,-1,5,1.0,2017-09-16,STK,2017
26,14,Swansea City,5,1,2,2,2,5,-3,5,1.0,2017-09-16,SWA,2017
28,15,Leicester City,5,1,1,3,7,9,-2,4,0.8,2017-09-16,LEI,2017
30,16,Brighton and Hove Albion,5,1,1,3,4,7,-3,4,0.8,2017-09-15,BHA,2017
32,17,West Ham United,5,1,1,3,4,10,-6,4,0.8,2017-09-16,WHU,2017
34,18,Everton,5,1,1,3,2,10,-8,4,0.8,2017-09-17,EVE,2017
36,19,Bournemouth,5,1,0,4,3,9,-6,3,0.6,2017-09-15,BOU,2017
38,20,Crystal Palace,5,0,0,5,0,8,-8,0,0.0,2017-09-16,CRY,2017
