,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,13,12,1,0,42,8,34,37,3.0,2017-11-26,MCI,2017
2,2,Manchester United,13,9,2,2,28,6,22,29,1.8,2017-11-25,MUN,2017
4,3,Chelsea,13,8,2,3,24,11,13,26,2.6,2017-11-25,CHE,2017
6,4,Arsenal,13,8,1,4,23,16,7,25,2.4,2017-11-26,ARS,2017
8,5,Tottenham Hotspur,13,7,3,3,21,10,11,24,1.4,2017-11-25,TOT,2017
10,6,Liverpool,13,6,5,2,25,18,7,23,2.0,2017-11-25,LIV,2017
12,7,Burnley,13,6,4,3,12,10,2,22,1.8,2017-11-26,BUR,2017
14,8,Watford,13,6,3,4,22,21,1,21,1.2,2017-11-25,WAT,2017
16,9,Brighton and Hove Albion,13,4,4,5,13,14,-1,16,1.6,2017-11-25,BHA,2017
18,10,Southampton,13,4,4,5,13,15,-2,16,1.4,2017-11-26,SOU,2017
20,11,Huddersfield Town,13,4,3,6,9,19,-10,15,1.2,2017-11-26,HUD,2017
22,12,Leicester City,13,3,5,5,17,19,-2,14,1.6,2017-11-24,LEI,2017
24,13,Bournemouth,13,4,2,7,11,14,-3,14,2.0,2017-11-25,BOU,2017
26,14,Newcastle United,13,4,2,7,11,17,-6,14,0.6,2017-11-25,NEW,2017
28,15,Stoke City,13,3,4,6,16,26,-10,13,1.0,2017-11-25,STK,2017
30,16,Everton,13,3,3,7,13,28,-15,12,0.8,2017-11-26,EVE,2017
32,17,West Bromwich Albion,13,2,5,6,10,19,-9,11,0.2,2017-11-25,WBA,2017
34,18,West Ham United,13,2,4,7,12,26,-14,10,0.4,2017-11-24,WHU,2017
36,19,Swansea City,13,2,3,8,7,15,-8,9,0.2,2017-11-25,SWA,2017
38,20,Crystal Palace,13,2,2,9,8,25,-17,8,1.0,2017-11-25,CRY,2017
