,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,6,5,1,0,21,2,19,16,2.6,2017-09-23,MCI,2017
2,2,Manchester United,6,5,1,0,17,2,15,16,2.6,2017-09-23,MUN,2017
4,3,Chelsea,6,4,1,1,12,5,7,13,2.6,2017-09-23,CHE,2017
6,4,Tottenham Hotspur,6,3,2,1,10,5,5,11,1.6,2017-09-23,TOT,2017
8,5,Liverpool,6,3,2,1,12,11,1,11,2.0,2017-09-23,LIV,2017
10,6,Watford,6,3,2,1,9,10,-1,11,2.0,2017-09-23,WAT,2017
12,7,Arsenal,6,3,1,2,9,8,1,10,1.4,2017-09-25,ARS,2017
14,8,Huddersfield Town,6,2,3,1,5,3,2,9,1.2,2017-09-23,HUD,2017
16,9,Burnley,6,2,3,1,6,5,1,9,1.2,2017-09-23,BUR,2017
18,10,Newcastle United,6,3,0,3,6,5,1,9,1.8,2017-09-24,NEW,2017
20,11,Southampton,6,2,2,2,4,5,-1,8,1.4,2017-09-23,SOU,2017
22,12,West Bromwich Albion,6,2,2,2,4,6,-2,8,1.0,2017-09-25,WBA,2017
24,13,Brighton and Hove Albion,6,2,1,3,5,7,-2,7,1.4,2017-09-24,BHA,2017
26,14,Everton,6,2,1,3,4,11,-7,7,0.8,2017-09-23,EVE,2017
28,15,Swansea City,6,1,2,3,3,7,-4,5,0.8,2017-09-23,SWA,2017
30,16,Stoke City,6,1,2,3,5,10,-5,5,1.0,2017-09-23,STK,2017
32,17,Leicester City,6,1,1,4,9,12,-3,4,0.8,2017-09-23,LEI,2017
34,18,West Ham United,6,1,1,4,6,13,-7,4,0.8,2017-09-23,WHU,2017
36,19,Bournemouth,6,1,0,5,4,11,-7,3,0.6,2017-09-23,BOU,2017
38,20,Crystal Palace,6,0,0,6,0,13,-13,0,0.0,2017-09-23,CRY,2017
