,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,12,11,1,0,40,7,33,34,3.0,2017-11-18,MCI,2017
2,2,Manchester United,12,8,2,2,27,6,21,26,1.4,2017-11-18,MUN,2017
4,3,Chelsea,12,8,1,3,23,10,13,25,2.4,2017-11-18,CHE,2017
6,4,Tottenham Hotspur,12,7,2,3,20,9,11,23,1.8,2017-11-18,TOT,2017
8,5,Liverpool,12,6,4,2,24,17,7,22,2.0,2017-11-18,LIV,2017
10,6,Arsenal,12,7,1,4,22,16,6,22,1.8,2017-11-18,ARS,2017
12,7,Burnley,12,6,4,2,12,9,3,22,2.0,2017-11-18,BUR,2017
14,8,Watford,12,5,3,4,19,21,-2,18,1.2,2017-11-19,WAT,2017
16,9,Brighton and Hove Albion,12,4,4,4,13,13,0,16,1.8,2017-11-20,BHA,2017
18,10,Huddersfield Town,12,4,3,5,8,17,-9,15,1.2,2017-11-18,HUD,2017
20,11,Newcastle United,12,4,2,6,11,14,-3,14,0.8,2017-11-18,NEW,2017
22,12,Leicester City,12,3,4,5,16,18,-2,13,1.6,2017-11-18,LEI,2017
24,13,Bournemouth,12,4,1,7,11,14,-3,13,1.8,2017-11-18,BOU,2017
26,14,Southampton,12,3,4,5,9,14,-5,13,1.0,2017-11-18,SOU,2017
28,15,Stoke City,12,3,4,5,15,24,-9,13,1.0,2017-11-20,STK,2017
30,16,Everton,12,3,3,6,12,24,-12,12,1.0,2017-11-18,EVE,2017
32,17,West Bromwich Albion,12,2,4,6,9,18,-9,10,0.2,2017-11-18,WBA,2017
34,18,West Ham United,12,2,3,7,11,25,-14,9,0.4,2017-11-19,WHU,2017
36,19,Swansea City,12,2,2,8,7,15,-8,8,0.6,2017-11-18,SWA,2017
38,20,Crystal Palace,12,1,2,9,6,24,-18,5,1.0,2017-11-18,CRY,2017
