,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,8,7,1,0,29,4,25,22,3.0,2017-10-14,MCI,2017
2,2,Manchester United,8,6,2,0,21,2,19,20,2.2,2017-10-14,MUN,2017
4,3,Tottenham Hotspur,8,5,2,1,15,5,10,17,2.6,2017-10-14,TOT,2017
6,4,Watford,8,4,3,1,13,13,0,15,2.0,2017-10-14,WAT,2017
8,5,Chelsea,8,4,1,3,13,8,5,13,1.4,2017-10-14,CHE,2017
10,6,Arsenal,8,4,1,3,12,10,2,13,2.0,2017-10-14,ARS,2017
12,7,Burnley,8,3,4,1,8,6,2,13,1.8,2017-10-14,BUR,2017
14,8,Liverpool,8,3,4,1,13,12,1,13,1.2,2017-10-14,LIV,2017
16,9,Newcastle United,8,3,2,3,9,8,1,11,1.6,2017-10-15,NEW,2017
18,10,West Bromwich Albion,8,2,4,2,7,9,-2,10,0.6,2017-10-16,WBA,2017
20,11,Southampton,8,2,3,3,7,9,-2,9,0.8,2017-10-15,SOU,2017
22,12,Huddersfield Town,8,2,3,3,5,9,-4,9,0.4,2017-10-14,HUD,2017
24,13,Swansea City,8,2,2,4,5,8,-3,8,0.8,2017-10-14,SWA,2017
26,14,Brighton and Hove Albion,8,2,2,4,6,10,-4,8,1.4,2017-10-15,BHA,2017
28,15,West Ham United,8,2,2,4,8,14,-6,8,1.6,2017-10-14,WHU,2017
30,16,Everton,8,2,2,4,5,13,-8,8,0.8,2017-10-15,EVE,2017
32,17,Stoke City,8,2,2,4,9,18,-9,8,0.8,2017-10-14,STK,2017
34,18,Leicester City,8,1,3,4,10,13,-3,6,0.6,2017-10-16,LEI,2017
36,19,Bournemouth,8,1,1,6,4,12,-8,4,0.8,2017-10-14,BOU,2017
38,20,Crystal Palace,8,1,0,7,2,18,-16,3,0.6,2017-10-14,CRY,2017
