,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,18,17,1,0,56,12,44,52,3.0,2017-12-16,MCI,2017
2,2,Manchester United,18,13,2,3,39,12,27,41,2.4,2017-12-17,MUN,2017
4,3,Chelsea,18,12,2,4,32,14,18,38,2.4,2017-12-16,CHE,2017
6,4,Liverpool,18,9,7,2,38,20,18,34,2.2,2017-12-17,LIV,2017
8,5,Arsenal,18,10,3,5,31,20,11,33,1.6,2017-12-16,ARS,2017
10,6,Burnley,18,9,5,4,16,12,4,32,2.0,2017-12-16,BUR,2017
12,7,Tottenham Hotspur,18,9,4,5,31,18,13,31,1.4,2017-12-16,TOT,2017
14,8,Leicester City,18,7,5,6,27,26,1,26,2.4,2017-12-16,LEI,2017
16,9,Everton,18,7,4,7,24,30,-6,25,2.6,2017-12-18,EVE,2017
18,10,Watford,18,6,4,8,27,33,-6,22,0.2,2017-12-16,WAT,2017
20,11,Huddersfield Town,18,6,3,9,16,30,-14,21,1.2,2017-12-16,HUD,2017
22,12,Southampton,18,4,6,8,17,24,-7,18,0.4,2017-12-16,SOU,2017
24,13,Brighton and Hove Albion,18,4,6,8,14,23,-9,18,0.4,2017-12-16,BHA,2017
26,14,Crystal Palace,18,4,5,9,15,28,-13,17,1.8,2017-12-16,CRY,2017
28,15,West Ham United,18,4,5,9,17,32,-15,17,1.4,2017-12-16,WHU,2017
30,16,Bournemouth,18,4,4,10,15,24,-9,16,0.4,2017-12-17,BOU,2017
32,17,Stoke City,18,4,4,10,19,39,-20,16,0.6,2017-12-16,STK,2017
34,18,Newcastle United,18,4,3,11,16,27,-11,15,0.2,2017-12-16,NEW,2017
36,19,West Bromwich Albion,18,2,8,8,13,24,-11,14,0.6,2017-12-17,WBA,2017
38,20,Swansea City,18,3,3,12,10,25,-15,12,0.6,2017-12-18,SWA,2017
