,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,32,27,3,2,90,24,66,84,2.4,2018-04-07,MCI,2017
2,2,Manchester United,32,22,5,5,63,25,38,71,3.0,2018-04-07,MUN,2017
4,3,Liverpool,33,19,10,4,75,35,40,67,2.0,2018-04-07,LIV,2017
6,4,Tottenham Hotspur,32,20,7,5,64,27,37,67,3.0,2018-04-07,TOT,2017
8,5,Chelsea,32,17,6,9,54,31,23,57,0.8,2018-04-08,CHE,2017
10,6,Arsenal,32,16,6,10,61,43,18,54,1.8,2018-04-08,ARS,2017
12,7,Burnley,32,13,10,9,31,28,3,49,2.6,2018-04-07,BUR,2017
14,8,Leicester City,32,11,10,11,48,45,3,43,1.6,2018-04-07,LEI,2017
16,9,Everton,33,11,8,14,38,53,-15,41,1.4,2018-04-07,EVE,2017
18,10,Newcastle United,32,10,8,14,33,41,-8,38,2.0,2018-04-07,NEW,2017
20,11,Bournemouth,33,9,11,13,41,53,-12,38,1.2,2018-04-07,BOU,2017
22,12,Watford,33,10,7,16,42,59,-17,37,0.8,2018-04-07,WAT,2017
24,13,Brighton and Hove Albion,32,8,11,13,29,43,-14,35,1.4,2018-04-07,BHA,2017
26,14,West Ham United,32,8,10,14,40,58,-18,34,0.8,2018-04-08,WHU,2017
28,15,Swansea City,32,8,8,16,26,45,-19,32,1.0,2018-04-07,SWA,2017
30,16,Huddersfield Town,33,8,8,17,26,54,-28,32,0.4,2018-04-07,HUD,2017
32,17,Crystal Palace,33,7,10,16,33,52,-19,31,0.8,2018-04-07,CRY,2017
34,18,Southampton,32,5,13,14,31,50,-19,28,0.4,2018-04-08,SOU,2017
36,19,Stoke City,33,6,9,18,30,63,-33,27,0.2,2018-04-07,STK,2017
38,20,West Bromwich Albion,33,3,12,18,26,52,-26,21,0.2,2018-04-07,WBA,2017
