,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester United,1,1,0,0,4,0,4,3,3.0,2017-08-13,MUN,2017
2,2,Huddersfield Town,1,1,0,0,3,0,3,3,3.0,2017-08-12,HUD,2017
4,3,Manchester City,1,1,0,0,2,0,2,3,3.0,2017-08-12,MCI,2017
6,4,Tottenham Hotspur,1,1,0,0,2,0,2,3,3.0,2017-08-13,TOT,2017
8,5,Arsenal,1,1,0,0,4,3,1,3,3.0,2017-08-11,ARS,2017
10,6,Burnley,1,1,0,0,3,2,1,3,3.0,2017-08-12,BUR,2017
12,7,Everton,1,1,0,0,1,0,1,3,3.0,2017-08-12,EVE,2017
14,8,West Bromwich Albion,1,1,0,0,1,0,1,3,3.0,2017-08-12,WBA,2017
16,9,Liverpool,1,0,1,0,3,3,0,1,1.0,2017-08-12,LIV,2017
18,10,Watford,1,0,1,0,3,3,0,1,1.0,2017-08-12,WAT,2017
20,11,Southampton,1,0,1,0,0,0,0,1,1.0,2017-08-12,SOU,2017
22,12,Swansea City,1,0,1,0,0,0,0,1,1.0,2017-08-12,SWA,2017
24,13,Leicester City,1,0,0,1,3,4,-1,0,0.0,2017-08-11,LEI,2017
26,14,Chelsea,1,0,0,1,2,3,-1,0,0.0,2017-08-12,CHE,2017
28,15,Bournemouth,1,0,0,1,0,1,-1,0,0.0,2017-08-12,BOU,2017
30,16,Stoke City,1,0,0,1,0,1,-1,0,0.0,2017-08-12,STK,2017
32,17,Brighton and Hove Albion,1,0,0,1,0,2,-2,0,0.0,2017-08-12,BHA,2017
34,18,Newcastle United,1,0,0,1,0,2,-2,0,0.0,2017-08-13,NEW,2017
36,19,Crystal Palace,1,0,0,1,0,3,-3,0,0.0,2017-08-12,CRY,2017
38,20,West Ham United,1,0,0,1,0,4,-4,0,0.0,2017-08-13,WHU,2017
