,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,29,25,3,1,83,20,63,78,2.6,2018-03-04,MCI,2017
2,2,Manchester United,29,19,5,5,56,22,34,62,1.8,2018-03-05,MUN,2017
4,3,Liverpool,29,17,9,3,67,32,35,60,2.6,2018-03-03,LIV,2017
6,4,Tottenham Hotspur,29,17,7,5,55,24,31,58,2.6,2018-03-03,TOT,2017
8,5,Chelsea,29,16,5,8,50,26,24,53,0.6,2018-03-04,CHE,2017
10,6,Arsenal,29,13,6,10,52,41,11,45,0.6,2018-03-04,ARS,2017
12,7,Burnley,29,10,10,9,24,26,-2,40,1.2,2018-03-03,BUR,2017
14,8,Leicester City,29,9,10,10,41,42,-1,37,0.6,2018-03-03,LEI,2017
16,9,Watford,29,10,6,13,39,47,-8,36,2.0,2018-03-03,WAT,2017
18,10,Brighton and Hove Albion,29,8,10,11,28,38,-10,34,2.2,2018-03-04,BHA,2017
20,11,Everton,29,9,7,13,33,49,-16,34,1.2,2018-03-03,EVE,2017
22,12,Bournemouth,29,8,9,12,34,44,-10,33,1.6,2018-03-03,BOU,2017
24,13,Swansea City,29,8,6,15,25,42,-17,30,2.0,2018-03-03,SWA,2017
26,14,West Ham United,29,7,9,13,36,54,-18,30,0.8,2018-03-03,WHU,2017
28,15,Huddersfield Town,29,8,6,15,25,50,-25,30,1.2,2018-03-03,HUD,2017
30,16,Newcastle United,29,7,8,14,27,40,-13,29,1.2,2018-03-03,NEW,2017
32,17,Southampton,29,5,13,11,29,41,-12,28,1.2,2018-03-03,SOU,2017
34,18,Crystal Palace,29,6,9,14,27,46,-19,27,0.4,2018-03-05,CRY,2017
36,19,Stoke City,29,6,9,14,28,54,-26,27,0.8,2018-03-03,STK,2017
38,20,West Bromwich Albion,29,3,11,15,22,43,-21,20,0.0,2018-03-03,WBA,2017
