,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,27,23,3,1,79,20,59,72,2.0,2018-02-10,MCI,2017
2,2,Manchester United,27,17,5,5,51,19,32,56,1.8,2018-02-11,MUN,2017
4,3,Liverpool,27,15,9,3,61,31,30,54,2.0,2018-02-11,LIV,2017
6,4,Chelsea,27,16,5,6,49,23,26,53,1.4,2018-02-12,CHE,2017
8,5,Tottenham Hotspur,27,15,7,5,52,24,28,52,2.2,2018-02-10,TOT,2017
10,6,Arsenal,27,13,6,8,51,36,15,45,1.2,2018-02-10,ARS,2017
12,7,Burnley,27,9,9,9,21,24,-3,36,0.4,2018-02-10,BUR,2017
14,8,Leicester City,27,9,8,10,39,40,-1,35,1.0,2018-02-10,LEI,2017
16,9,Everton,27,9,7,11,32,46,-14,34,1.4,2018-02-10,EVE,2017
18,10,Bournemouth,27,8,7,12,31,41,-10,31,2.0,2018-02-11,BOU,2017
20,11,Watford,27,8,6,13,37,47,-10,30,1.0,2018-02-10,WAT,2017
22,12,West Ham United,27,7,9,11,34,46,-12,30,1.6,2018-02-10,WHU,2017
24,13,Newcastle United,27,7,7,13,25,36,-11,28,1.2,2018-02-11,NEW,2017
26,14,Brighton and Hove Albion,27,6,10,11,22,36,-14,28,1.0,2018-02-10,BHA,2017
28,15,Crystal Palace,27,6,9,12,25,42,-17,27,1.0,2018-02-10,CRY,2017
30,16,Swansea City,27,7,6,14,20,37,-17,27,2.2,2018-02-10,SWA,2017
32,17,Huddersfield Town,27,7,6,14,23,47,-24,27,0.6,2018-02-11,HUD,2017
34,18,Southampton,27,5,11,11,28,40,-12,26,1.2,2018-02-11,SOU,2017
36,19,Stoke City,27,6,7,14,27,53,-26,25,1.0,2018-02-10,STK,2017
38,20,West Bromwich Albion,27,3,11,13,21,40,-19,20,0.8,2018-02-12,WBA,2017
