,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,22,20,2,0,64,13,51,62,2.6,2018-01-02,MCI,2017
2,2,Manchester United,22,14,5,3,45,16,29,47,1.8,2018-01-01,MUN,2017
4,3,Chelsea,22,14,4,4,41,16,25,46,2.2,2018-01-03,CHE,2017
6,4,Liverpool,22,12,8,2,50,25,25,44,2.6,2018-01-01,LIV,2017
8,5,Tottenham Hotspur,22,12,5,5,42,21,21,41,2.0,2018-01-04,TOT,2017
10,6,Arsenal,22,11,6,5,40,28,12,39,1.8,2018-01-03,ARS,2017
12,7,Burnley,22,9,7,6,19,19,0,34,0.6,2018-01-01,BUR,2017
14,8,Leicester City,22,8,6,8,34,32,2,30,0.8,2018-01-01,LEI,2017
16,9,Everton,22,7,6,9,25,34,-9,27,1.0,2018-01-01,EVE,2017
18,10,Watford,22,7,4,11,31,40,-9,25,0.6,2018-01-02,WAT,2017
20,11,Huddersfield Town,22,6,6,10,18,35,-17,24,1.2,2018-01-01,HUD,2017
22,12,Brighton and Hove Albion,22,5,8,9,17,27,-10,23,1.2,2018-01-01,BHA,2017
24,13,Newcastle United,22,6,4,12,20,30,-10,22,1.4,2018-01-01,NEW,2017
26,14,Crystal Palace,22,5,7,10,20,33,-13,22,1.6,2018-01-02,CRY,2017
28,15,West Ham United,22,5,7,10,25,40,-15,22,1.6,2018-01-04,WHU,2017
30,16,Bournemouth,22,5,6,11,22,34,-12,21,1.0,2018-01-01,BOU,2017
32,17,Southampton,22,4,8,10,21,32,-11,20,0.4,2018-01-02,SOU,2017
34,18,Stoke City,22,5,5,12,23,47,-24,20,0.8,2018-01-01,STK,2017
36,19,West Bromwich Albion,22,2,10,10,16,30,-14,16,0.4,2018-01-02,WBA,2017
38,20,Swansea City,22,4,4,14,13,34,-21,16,0.8,2018-01-02,SWA,2017
