,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,24,21,2,1,70,18,52,65,2.0,2018-01-20,MCI,2017
2,2,Manchester United,24,16,5,3,49,16,33,53,2.2,2018-01-20,MUN,2017
4,3,Chelsea,24,15,5,4,45,16,29,50,2.2,2018-01-20,CHE,2017
6,4,Liverpool,24,13,8,3,54,29,25,47,2.4,2018-01-22,LIV,2017
8,5,Tottenham Hotspur,24,13,6,5,47,22,25,45,2.2,2018-01-21,TOT,2017
10,6,Arsenal,24,12,6,6,45,31,14,42,1.6,2018-01-20,ARS,2017
12,7,Leicester City,24,9,7,8,36,32,4,34,1.4,2018-01-20,LEI,2017
14,8,Burnley,24,9,7,8,19,21,-2,34,0.4,2018-01-20,BUR,2017
16,9,Everton,24,7,7,10,26,39,-13,28,0.4,2018-01-20,EVE,2017
18,10,Watford,24,7,5,12,33,44,-11,26,0.8,2018-01-20,WAT,2017
20,11,West Ham United,24,6,8,10,30,42,-12,26,1.8,2018-01-20,WHU,2017
22,12,Bournemouth,24,6,7,11,25,36,-11,25,1.8,2018-01-20,BOU,2017
24,13,Crystal Palace,24,6,7,11,22,37,-15,25,1.4,2018-01-20,CRY,2017
26,14,Huddersfield Town,24,6,6,12,19,41,-22,24,0.4,2018-01-20,HUD,2017
28,15,Newcastle United,24,6,5,13,22,34,-12,23,1.0,2018-01-20,NEW,2017
30,16,Brighton and Hove Albion,24,5,8,11,17,33,-16,23,0.4,2018-01-20,BHA,2017
32,17,Stoke City,24,6,5,13,25,50,-25,23,0.8,2018-01-20,STK,2017
34,18,Southampton,24,4,10,10,24,35,-11,22,0.6,2018-01-21,SOU,2017
36,19,West Bromwich Albion,24,3,11,10,19,31,-12,20,1.2,2018-01-20,WBA,2017
38,20,Swansea City,24,5,5,14,15,35,-20,20,1.4,2018-01-22,SWA,2017
