,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2022-08-06,Away,L,1,2,Leeds United,1.3,0.8,60,Wolves
1,2022-08-13,Home,D,0,0,Fulham,0.9,1.5,59,Wolves
2,2022-08-20,Away,L,0,1,Tottenham,0.7,1.7,50,Wolves
4,2022-08-28,Home,D,1,1,Newcastle Utd,0.7,1.7,37,Wolves
5,2022-08-31,Away,D,0,0,Bournemouth,1.5,0.4,65,Wolves
6,2022-09-03,Home,W,1,0,Southampton,0.8,1.2,51,Wolves
7,2022-09-17,Home,L,0,3,Manchester City,0.4,1.1,41,Wolves
8,2022-10-01,Away,L,0,2,West Ham,0.7,0.9,61,Wolves
9,2022-10-08,Away,L,0,3,Chelsea,1.1,1.9,43,Wolves
10,2022-10-15,Home,W,1,0,Nott'ham Forest,1.3,1.5,58,Wolves
11,2022-10-18,Away,L,1,2,Crystal Palace,0.8,1.2,49,Wolves
12,2022-10-23,Home,L,0,4,Leicester City,2.1,0.9,60,Wolves
13,2022-10-29,Away,D,1,1,Brentford,0.6,1.4,42,Wolves
14,2022-11-05,Home,L,2,3,Brighton,1.2,1.5,29,Wolves
16,2022-11-12,Home,L,0,2,Arsenal,0.7,2.1,38,Wolves
18,2022-12-26,Away,W,2,1,Everton,0.8,1.7,42,Wolves
19,2022-12-31,Home,L,0,1,Manchester Utd,0.7,2.0,46,Wolves
20,2023-01-04,Away,D,1,1,Aston Villa,0.9,1.8,44,Wolves
23,2023-01-14,Home,W,1,0,West Ham,0.9,1.1,58,Wolves
25,2023-01-22,Away,L,0,3,Manchester City,0.8,2.8,45,Wolves
26,2023-02-04,Home,W,3,0,Liverpool,2.0,1.8,41,Wolves
27,2023-02-11,Away,W,2,1,Southampton,0.8,1.1,59,Wolves
28,2023-02-18,Home,L,0,1,Bournemouth,1.2,1.0,67,Wolves
29,2023-02-24,Away,D,1,1,Fulham,0.8,0.5,49,Wolves
30,2023-03-01,Away,L,0,2,Liverpool,0.8,2.5,43,Wolves
31,2023-03-04,Home,W,1,0,Tottenham,0.4,1.3,46,Wolves
32,2023-03-12,Away,,,,Newcastle Utd,,,,Wolves
33,2023-03-18,Home,,,,Leeds United,,,,Wolves
34,2023-04-01,Away,,,,Nott'ham Forest,,,,Wolves
35,2023-04-08,Home,,,,Chelsea,,,,Wolves
36,2023-04-15,Home,,,,Brentford,,,,Wolves
37,2023-04-22,Away,,,,Leicester City,,,,Wolves
38,2023-04-25,Home,,,,Crystal Palace,,,,Wolves
39,2023-04-29,Away,,,,Brighton,,,,Wolves
40,2023-05-06,Home,,,,Aston Villa,,,,Wolves
41,2023-05-13,Away,,,,Manchester Utd,,,,Wolves
42,2023-05-20,Home,,,,Everton,,,,Wolves
43,2023-05-28,Away,,,,Arsenal,,,,Wolves
