,Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Club
0,2022-08-07,Away,D,2,2,Leicester City,0.8,0.6,44,Brentford
1,2022-08-13,Home,W,4,0,Manchester Utd,1.6,0.9,34,Brentford
2,2022-08-20,Away,L,2,3,Fulham,1.8,2.4,57,Brentford
4,2022-08-27,Home,D,1,1,Everton,2.1,1.1,58,Brentford
5,2022-08-30,Away,D,1,1,Crystal Palace,1.4,1.0,51,Brentford
6,2022-09-03,Home,W,5,2,Leeds United,2.3,1.7,32,Brentford
7,2022-09-18,Home,L,0,3,Arsenal,0.5,1.5,37,Brentford
8,2022-10-01,Away,D,0,0,Bournemouth,0.9,0.4,58,Brentford
9,2022-10-08,Away,L,1,5,Newcastle Utd,1.2,1.5,46,Brentford
10,2022-10-14,Home,W,2,0,Brighton,1.5,1.9,28,Brentford
11,2022-10-19,Home,D,0,0,Chelsea,1.3,0.9,34,Brentford
12,2022-10-23,Away,L,0,4,Aston Villa,0.9,2.8,55,Brentford
13,2022-10-29,Home,D,1,1,Wolves,1.4,0.6,58,Brentford
14,2022-11-05,Away,D,2,2,Nott'ham Forest,1.5,1.5,52,Brentford
16,2022-11-12,Away,W,2,1,Manchester City,1.3,1.6,26,Brentford
17,2022-12-26,Home,D,2,2,Tottenham,2.0,1.1,39,Brentford
18,2022-12-30,Away,W,2,0,West Ham,1.6,1.3,37,Brentford
19,2023-01-02,Home,W,3,1,Liverpool,1.7,2.0,28,Brentford
21,2023-01-14,Home,W,2,0,Bournemouth,1.4,0.6,50,Brentford
22,2023-01-22,Away,D,0,0,Leeds United,0.4,0.5,42,Brentford
23,2023-02-04,Home,W,3,0,Southampton,2.2,0.7,49,Brentford
24,2023-02-11,Away,D,1,1,Arsenal,2.0,1.6,31,Brentford
25,2023-02-18,Home,D,1,1,Crystal Palace,0.9,1.1,59,Brentford
26,2023-03-06,Home,W,3,2,Fulham,2.2,1.4,37,Brentford
27,2023-03-11,Away,L,0,1,Everton,2.0,1.0,67,Brentford
28,2023-03-15,Away,W,2,0,Southampton,1.9,0.5,34,Brentford
29,2023-03-18,Home,D,1,1,Leicester City,0.6,1.3,53,Brentford
30,2023-04-01,Away,D,3,3,Brighton,1.6,4.2,28,Brentford
31,2023-04-05,Away,L,0,1,Manchester Utd,0.7,1.2,36,Brentford
32,2023-04-08,Home,L,1,2,Newcastle Utd,2.6,1.3,42,Brentford
33,2023-04-15,Away,L,0,2,Wolves,1.1,0.8,50,Brentford
34,2023-04-22,Home,D,1,1,Aston Villa,2.7,1.5,44,Brentford
35,2023-04-26,Away,W,2,0,Chelsea,1.1,1.3,29,Brentford
36,2023-04-29,Home,,,,Nott'ham Forest,,,,Brentford
37,2023-05-06,Away,,,,Liverpool,,,,Brentford
38,2023-05-14,Home,,,,West Ham,,,,Brentford
39,2023-05-20,Away,,,,Tottenham,,,,Brentford
40,2023-05-28,Home,,,,Manchester City,,,,Brentford
