,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester United,17,11,3,3,34,24,10,36,2.6,2021-01-12,MUN,2020
2,2,Liverpool,17,9,6,2,37,21,16,33,1.6,2021-01-04,LIV,2020
4,3,Manchester City,16,9,5,2,25,13,12,32,2.6,2021-01-13,MCI,2020
6,4,Leicester City,17,10,2,5,31,21,10,32,1.6,2021-01-03,LEI,2020
8,5,Everton,17,10,2,5,28,21,7,32,2.4,2021-01-12,EVE,2020
10,6,Tottenham Hotspur,17,8,6,3,30,16,14,30,1.0,2021-01-13,TOT,2020
12,7,Southampton,17,8,5,4,26,19,7,29,1.2,2021-01-04,SOU,2020
14,8,Aston Villa,15,8,2,5,29,16,13,26,1.6,2021-01-01,AVL,2020
16,9,Chelsea,17,7,5,5,32,21,11,26,0.8,2021-01-03,CHE,2020
18,10,West Ham United,17,7,5,5,24,21,3,26,1.2,2021-01-01,WHU,2020
20,11,Arsenal,18,7,3,8,20,19,1,24,2.0,2021-01-14,ARS,2020
22,12,Leeds United,17,7,2,8,30,33,-3,23,1.8,2021-01-02,LEE,2020
24,13,Crystal Palace,18,6,5,7,22,29,-7,23,1.0,2021-01-14,CRY,2020
26,14,Wolverhampton Wanderers,18,6,4,8,19,26,-7,22,0.4,2021-01-12,WOL,2020
28,15,Newcastle United,17,5,4,8,18,27,-9,19,0.4,2021-01-12,NEW,2020
30,16,Burnley,16,4,4,8,9,21,-12,16,1.4,2021-01-12,BUR,2020
32,17,Brighton and Hove Albion,18,2,8,8,21,29,-8,14,0.6,2021-01-13,BHA,2020
34,18,Fulham,16,2,6,8,14,24,-10,12,1.0,2021-01-13,FUL,2020
36,19,West Bromwich Albion,17,1,5,11,11,39,-28,8,0.4,2021-01-02,WBA,2020
38,20,Sheffield United,18,1,2,15,9,29,-20,5,0.8,2021-01-12,SHU,2020
