,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,35,25,5,5,72,26,46,80,1.8,2021-05-08,MCI,2020
2,2,Manchester United,36,20,10,6,70,42,28,70,1.4,2021-05-13,MUN,2020
4,3,Leicester City,36,20,6,10,65,44,21,66,2.0,2021-05-11,LEI,2020
6,4,Chelsea,36,18,10,8,55,33,22,64,2.0,2021-05-12,CHE,2020
8,5,Liverpool,35,17,9,9,61,41,20,60,2.2,2021-05-13,LIV,2020
10,6,West Ham United,35,17,7,11,55,45,10,58,1.2,2021-05-09,WHU,2020
12,7,Tottenham Hotspur,35,16,8,11,61,41,20,56,1.4,2021-05-08,TOT,2020
14,8,Everton,35,16,8,11,46,42,4,56,1.6,2021-05-13,EVE,2020
16,9,Arsenal,36,16,7,13,50,38,12,55,2.0,2021-05-12,ARS,2020
18,10,Leeds United,35,15,5,15,53,53,0,50,1.6,2021-05-08,LEE,2020
20,11,Aston Villa,35,14,7,14,49,41,8,49,1.0,2021-05-13,AVL,2020
22,12,Wolverhampton Wanderers,35,12,9,14,35,47,-12,45,2.0,2021-05-09,WOL,2020
24,13,Crystal Palace,35,11,8,16,37,59,-22,41,0.6,2021-05-11,CRY,2020
26,14,Southampton,35,11,7,17,44,62,-18,40,0.8,2021-05-11,SOU,2020
28,15,Burnley,35,10,9,16,33,47,-14,39,1.2,2021-05-10,BUR,2020
30,16,Newcastle United,35,10,9,16,40,58,-18,39,2.0,2021-05-07,NEW,2020
32,17,Brighton and Hove Albion,35,8,13,14,36,41,-5,37,1.0,2021-05-09,BHA,2020
34,18,Fulham,35,5,12,18,25,47,-22,27,0.2,2021-05-10,FUL,2020
36,19,West Bromwich Albion,35,5,11,19,32,68,-36,26,1.0,2021-05-09,WBA,2020
38,20,Sheffield United,35,5,2,28,18,62,-44,17,0.6,2021-05-08,SHU,2020
