,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,38,27,5,6,83,32,51,86,1.8,2021-05-23,MCI,2020
2,2,Manchester United,38,21,11,6,73,44,29,74,1.4,2021-05-23,MUN,2020
4,3,Liverpool,38,20,9,9,68,42,26,69,3.0,2021-05-23,LIV,2020
6,4,Chelsea,38,19,10,9,58,36,22,67,1.8,2021-05-23,CHE,2020
8,5,Leicester City,38,20,6,12,68,50,18,66,0.8,2021-05-23,LEI,2020
10,6,West Ham United,38,19,8,11,62,47,15,65,2.0,2021-05-23,WHU,2020
12,7,Tottenham Hotspur,38,18,8,12,68,45,23,62,1.8,2021-05-23,TOT,2020
14,8,Arsenal,38,18,7,13,55,39,16,61,3.0,2021-05-23,ARS,2020
16,9,Leeds United,38,18,5,15,62,54,8,59,2.4,2021-05-23,LEE,2020
18,10,Everton,38,17,8,13,47,48,-1,59,1.4,2021-05-23,EVE,2020
20,11,Aston Villa,38,16,7,15,55,46,9,55,1.4,2021-05-23,AVL,2020
22,12,Newcastle United,38,12,9,17,46,62,-16,45,1.8,2021-05-23,NEW,2020
24,13,Wolverhampton Wanderers,38,12,9,17,36,52,-16,45,0.8,2021-05-23,WOL,2020
26,14,Crystal Palace,38,12,8,18,41,66,-25,44,1.2,2021-05-23,CRY,2020
28,15,Southampton,38,12,7,19,47,68,-21,43,1.2,2021-05-23,SOU,2020
30,16,Brighton and Hove Albion,38,9,14,15,40,46,-6,41,1.4,2021-05-23,BHA,2020
32,17,Burnley,38,10,9,19,33,55,-22,39,0.6,2021-05-23,BUR,2020
34,18,Fulham,38,5,13,20,27,53,-26,28,0.2,2021-05-23,FUL,2020
36,19,West Bromwich Albion,38,5,11,22,35,76,-41,26,0.2,2021-05-23,WBA,2020
38,20,Sheffield United,38,7,2,29,20,63,-43,23,1.2,2021-05-23,SHU,2020
