,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,15,9,5,1,37,20,17,32,2.2,2020-12-27,LIV,2020
2,2,Everton,15,9,2,4,26,19,7,29,2.6,2020-12-26,EVE,2020
4,3,Leicester City,15,9,1,5,28,19,9,28,2.0,2020-12-26,LEI,2020
6,4,Manchester United,14,8,3,3,30,23,7,27,2.2,2020-12-26,MUN,2020
8,5,Tottenham Hotspur,15,7,5,3,26,15,11,26,1.0,2020-12-27,TOT,2020
10,6,Manchester City,14,7,5,2,21,12,9,26,2.2,2020-12-26,MCI,2020
12,7,Aston Villa,13,8,1,4,27,13,14,25,2.0,2020-12-26,AVL,2020
14,8,Chelsea,15,7,4,4,30,17,13,25,1.2,2020-12-26,CHE,2020
16,9,Southampton,15,7,4,4,25,19,6,25,1.6,2020-12-26,SOU,2020
18,10,West Ham United,15,6,4,5,23,21,2,22,1.0,2020-12-27,WHU,2020
20,11,Wolverhampton Wanderers,15,6,3,6,15,20,-5,21,0.8,2020-12-27,WOL,2020
22,12,Leeds United,15,6,2,7,25,30,-5,20,1.2,2020-12-27,LEE,2020
24,13,Newcastle United,14,5,3,6,17,24,-7,18,1.4,2020-12-26,NEW,2020
26,14,Crystal Palace,15,5,3,7,19,28,-9,18,1.0,2020-12-26,CRY,2020
28,15,Arsenal,15,5,2,8,15,19,-4,17,0.8,2020-12-26,ARS,2020
30,16,Brighton and Hove Albion,15,2,7,6,18,24,-6,13,0.6,2020-12-27,BHA,2020
32,17,Burnley,14,3,4,7,8,20,-12,13,1.6,2020-12-27,BUR,2020
34,18,Fulham,15,2,5,8,13,23,-10,11,0.8,2020-12-26,FUL,2020
36,19,West Bromwich Albion,15,1,5,9,11,30,-19,8,0.4,2020-12-27,WBA,2020
38,20,Sheffield United,15,0,2,13,8,26,-18,2,0.2,2020-12-26,SHU,2020
