,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,27,20,5,2,56,17,39,65,3.0,2021-03-02,MCI,2020
2,2,Manchester United,27,14,9,4,53,32,21,51,1.4,2021-03-03,MUN,2020
4,3,Leicester City,27,15,5,7,46,31,15,50,1.6,2021-03-03,LEI,2020
6,4,Chelsea,27,13,8,6,42,25,17,47,2.2,2021-03-04,CHE,2020
8,5,Everton,26,14,4,8,39,33,6,46,1.8,2021-03-04,EVE,2020
10,6,West Ham United,26,13,6,7,40,31,9,45,2.0,2021-02-27,WHU,2020
12,7,Liverpool,27,12,7,8,47,35,12,43,0.6,2021-03-04,LIV,2020
14,8,Tottenham Hotspur,26,12,6,8,42,27,15,42,1.8,2021-03-04,TOT,2020
16,9,Aston Villa,25,12,3,10,38,27,11,39,1.4,2021-03-03,AVL,2020
18,10,Arsenal,26,11,4,11,34,27,7,37,1.2,2021-02-28,ARS,2020
20,11,Leeds United,26,11,2,13,43,44,-1,35,1.2,2021-02-27,LEE,2020
22,12,Wolverhampton Wanderers,27,9,7,11,28,37,-9,34,1.6,2021-03-02,WOL,2020
24,13,Crystal Palace,27,9,7,11,29,43,-14,34,1.0,2021-03-03,CRY,2020
26,14,Southampton,26,8,6,12,31,44,-13,30,0.2,2021-03-01,SOU,2020
28,15,Burnley,27,7,8,12,19,35,-16,29,1.2,2021-03-03,BUR,2020
30,16,Brighton and Hove Albion,26,5,11,10,26,33,-7,26,1.0,2021-02-27,BHA,2020
32,17,Newcastle United,26,7,5,14,27,44,-17,26,0.8,2021-02-27,NEW,2020
34,18,Fulham,27,4,11,12,21,33,-12,23,1.6,2021-03-04,FUL,2020
36,19,West Bromwich Albion,27,3,8,16,20,56,-36,17,1.0,2021-03-04,WBA,2020
38,20,Sheffield United,27,4,2,21,16,43,-27,14,0.6,2021-03-03,SHU,2020
