,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester United,19,12,4,3,36,25,11,40,2.6,2021-01-20,MUN,2020
2,2,Manchester City,18,11,5,2,31,13,18,38,3.0,2021-01-20,MCI,2020
4,3,Leicester City,19,12,2,5,35,21,14,38,2.2,2021-01-19,LEI,2020
6,4,Liverpool,19,9,7,3,37,22,15,34,0.6,2021-01-21,LIV,2020
8,5,Tottenham Hotspur,18,9,6,3,33,17,16,33,1.6,2021-01-17,TOT,2020
10,6,Everton,17,10,2,5,28,21,7,32,2.4,2021-01-12,EVE,2020
12,7,West Ham United,19,9,5,5,27,22,5,32,2.2,2021-01-19,WHU,2020
14,8,Aston Villa,17,9,2,6,31,18,13,29,1.4,2021-01-23,AVL,2020
16,9,Chelsea,19,8,5,6,33,23,10,29,0.8,2021-01-19,CHE,2020
18,10,Southampton,18,8,5,5,26,21,5,29,1.0,2021-01-16,SOU,2020
20,11,Arsenal,19,8,3,8,23,19,4,27,2.6,2021-01-18,ARS,2020
22,12,Leeds United,18,7,2,9,30,34,-4,23,1.2,2021-01-16,LEE,2020
24,13,Crystal Palace,19,6,5,8,22,33,-11,23,1.0,2021-01-17,CRY,2020
26,14,Wolverhampton Wanderers,19,6,4,9,21,29,-8,22,0.4,2021-01-16,WOL,2020
28,15,Burnley,18,5,4,9,10,22,-12,19,1.2,2021-01-21,BUR,2020
30,16,Newcastle United,19,5,4,10,18,32,-14,19,0.2,2021-01-23,NEW,2020
32,17,Brighton and Hove Albion,19,3,8,8,22,29,-7,17,1.0,2021-01-16,BHA,2020
34,18,Fulham,18,2,6,10,15,27,-12,12,0.6,2021-01-20,FUL,2020
36,19,West Bromwich Albion,19,2,5,12,15,43,-28,11,0.8,2021-01-19,WBA,2020
38,20,Sheffield United,19,1,2,16,10,32,-22,5,0.6,2021-01-17,SHU,2020
