,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,7,5,1,1,17,15,2,16,2.0,2020-10-31,LIV,2020
2,2,Leicester City,7,5,0,2,17,9,8,15,1.8,2020-11-02,LEI,2020
4,3,Tottenham Hotspur,7,4,2,1,18,9,9,14,2.2,2020-11-01,TOT,2020
6,4,Everton,7,4,1,2,15,11,4,13,1.4,2020-11-01,EVE,2020
8,5,Southampton,7,4,1,2,14,12,2,13,2.6,2020-11-01,SOU,2020
10,6,Wolverhampton Wanderers,7,4,1,2,8,8,0,13,2.0,2020-10-30,WOL,2020
12,7,Chelsea,7,3,3,1,16,9,7,12,1.8,2020-10-31,CHE,2020
14,8,Aston Villa,6,4,0,2,15,9,6,12,1.8,2020-11-01,AVL,2020
16,9,Arsenal,7,4,0,3,9,7,2,12,1.2,2020-11-01,ARS,2020
18,10,Manchester City,6,3,2,1,9,8,1,11,1.6,2020-10-31,MCI,2020
20,11,Newcastle United,7,3,2,2,10,11,-1,11,1.6,2020-11-01,NEW,2020
22,12,Leeds United,7,3,1,3,13,13,0,10,1.4,2020-11-02,LEE,2020
24,13,Crystal Palace,7,3,1,3,8,11,-3,10,0.8,2020-10-30,CRY,2020
26,14,West Ham United,7,2,2,3,13,10,3,8,1.6,2020-10-31,WHU,2020
28,15,Manchester United,6,2,1,3,9,13,-4,7,1.4,2020-11-01,MUN,2020
30,16,Brighton and Hove Albion,7,1,2,4,11,14,-3,5,0.4,2020-11-01,BHA,2020
32,17,Fulham,7,1,1,5,7,14,-7,4,0.8,2020-11-02,FUL,2020
34,18,West Bromwich Albion,7,0,3,4,6,16,-10,3,0.6,2020-11-02,WBA,2020
36,19,Sheffield United,7,0,1,6,3,10,-7,1,0.2,2020-10-31,SHU,2020
38,20,Burnley,6,0,1,5,3,12,-9,1,0.2,2020-10-31,BUR,2020
