,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,32,23,5,4,67,23,44,74,1.8,2021-04-10,MCI,2020
2,2,Manchester United,31,18,9,4,61,34,27,63,2.6,2021-04-11,MUN,2020
4,3,Leicester City,31,17,5,9,55,37,18,56,1.4,2021-04-11,LEI,2020
6,4,West Ham United,31,16,7,8,51,39,12,55,2.0,2021-04-11,WHU,2020
8,5,Chelsea,31,15,9,7,50,31,19,54,2.0,2021-04-10,CHE,2020
10,6,Liverpool,31,15,7,9,53,37,16,52,1.8,2021-04-10,LIV,2020
12,7,Tottenham Hotspur,31,14,7,10,52,35,17,49,1.4,2021-04-11,TOT,2020
14,8,Everton,30,14,6,10,41,38,3,48,1.0,2021-04-12,EVE,2020
16,9,Arsenal,31,13,6,12,43,35,8,45,1.6,2021-04-11,ARS,2020
18,10,Leeds United,31,14,3,14,49,49,0,45,2.0,2021-04-10,LEE,2020
20,11,Aston Villa,30,13,5,12,43,33,10,44,1.0,2021-04-10,AVL,2020
22,12,Wolverhampton Wanderers,31,10,8,13,31,41,-10,38,0.8,2021-04-09,WOL,2020
24,13,Crystal Palace,31,10,8,13,33,52,-19,38,1.0,2021-04-10,CRY,2020
26,14,Southampton,31,10,6,15,39,56,-17,36,1.2,2021-04-12,SOU,2020
28,15,Brighton and Hove Albion,31,7,12,12,33,38,-5,33,1.4,2021-04-12,BHA,2020
30,16,Burnley,31,8,9,14,25,42,-17,33,1.0,2021-04-11,BUR,2020
32,17,Newcastle United,31,8,8,15,32,51,-19,32,1.2,2021-04-11,NEW,2020
34,18,Fulham,32,5,11,16,24,42,-18,26,0.6,2021-04-09,FUL,2020
36,19,West Bromwich Albion,31,5,9,17,28,59,-31,24,1.4,2021-04-12,WBA,2020
38,20,Sheffield United,31,4,2,25,17,55,-38,14,0.6,2021-04-11,SHU,2020
