,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Leicester City,2,2,0,0,7,2,5,6,3.0,2020-09-20,LEI,2020
2,2,Everton,2,2,0,0,6,2,4,6,3.0,2020-09-19,EVE,2020
4,3,Arsenal,2,2,0,0,5,1,4,6,3.0,2020-09-19,ARS,2020
6,4,Liverpool,2,2,0,0,6,3,3,6,3.0,2020-09-20,LIV,2020
8,5,Crystal Palace,2,2,0,0,4,1,3,6,3.0,2020-09-19,CRY,2020
10,6,Tottenham Hotspur,2,1,0,1,5,3,2,3,1.5,2020-09-20,TOT,2020
12,7,Manchester City,1,1,0,0,3,1,2,3,3.0,2020-09-21,MCI,2020
14,8,Brighton and Hove Albion,2,1,0,1,4,3,1,3,1.5,2020-09-20,BHA,2020
16,9,Aston Villa,1,1,0,0,1,0,1,3,3.0,2020-09-21,AVL,2020
18,10,Leeds United,2,1,0,1,7,7,0,3,1.5,2020-09-19,LEE,2020
20,11,Chelsea,2,1,0,1,3,3,0,3,1.5,2020-09-20,CHE,2020
22,12,Wolverhampton Wanderers,2,1,0,1,3,3,0,3,1.5,2020-09-21,WOL,2020
24,13,Newcastle United,2,1,0,1,2,3,-1,3,1.5,2020-09-20,NEW,2020
26,14,Burnley,1,0,0,1,2,4,-2,0,0.0,2020-09-20,BUR,2020
28,15,Manchester United,1,0,0,1,1,3,-2,0,0.0,2020-09-19,MUN,2020
30,16,West Ham United,2,0,0,2,1,4,-3,0,0.0,2020-09-19,WHU,2020
32,17,Sheffield United,2,0,0,2,0,3,-3,0,0.0,2020-09-21,SHU,2020
34,18,Fulham,2,0,0,2,3,7,-4,0,0.0,2020-09-19,FUL,2020
36,19,Southampton,2,0,0,2,2,6,-4,0,0.0,2020-09-20,SOU,2020
38,20,West Bromwich Albion,2,0,0,2,2,8,-6,0,0.0,2020-09-19,WBA,2020
