,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,17,9,6,2,37,21,16,33,1.6,2021-01-04,LIV,2020
2,2,Manchester United,16,10,3,3,33,24,9,33,2.6,2021-01-01,MUN,2020
4,3,Leicester City,17,10,2,5,31,21,10,32,1.6,2021-01-03,LEI,2020
6,4,Tottenham Hotspur,16,8,5,3,29,15,14,29,1.0,2021-01-02,TOT,2020
8,5,Manchester City,15,8,5,2,24,13,11,29,2.2,2021-01-03,MCI,2020
10,6,Southampton,17,8,5,4,26,19,7,29,1.2,2021-01-04,SOU,2020
12,7,Everton,16,9,2,5,26,20,6,29,2.4,2021-01-01,EVE,2020
14,8,Aston Villa,15,8,2,5,29,16,13,26,1.6,2021-01-01,AVL,2020
16,9,Chelsea,17,7,5,5,32,21,11,26,0.8,2021-01-03,CHE,2020
18,10,West Ham United,17,7,5,5,24,21,3,26,1.2,2021-01-01,WHU,2020
20,11,Arsenal,17,7,2,8,20,19,1,23,2.0,2021-01-02,ARS,2020
22,12,Leeds United,17,7,2,8,30,33,-3,23,1.8,2021-01-02,LEE,2020
24,13,Wolverhampton Wanderers,17,6,4,7,18,24,-6,22,1.0,2021-01-02,WOL,2020
26,14,Crystal Palace,17,6,4,7,22,29,-7,22,1.0,2021-01-02,CRY,2020
28,15,Newcastle United,16,5,4,7,18,26,-8,19,0.4,2021-01-03,NEW,2020
30,16,Burnley,15,4,4,7,9,20,-11,16,2.0,2020-12-29,BUR,2020
32,17,Brighton and Hove Albion,17,2,8,7,21,28,-7,14,0.8,2021-01-02,BHA,2020
34,18,Fulham,15,2,5,8,13,23,-10,11,0.8,2020-12-26,FUL,2020
36,19,West Bromwich Albion,17,1,5,11,11,39,-28,8,0.4,2021-01-02,WBA,2020
38,20,Sheffield United,17,0,2,15,8,29,-21,2,0.2,2021-01-02,SHU,2020
