,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,37,26,5,6,78,32,46,83,1.8,2021-05-18,MCI,2020
2,2,Manchester United,37,20,11,6,71,43,28,71,1.0,2021-05-18,MUN,2020
4,3,Chelsea,37,19,10,8,57,34,23,67,2.4,2021-05-18,CHE,2020
6,4,Liverpool,37,19,9,9,66,42,24,66,2.6,2021-05-19,LIV,2020
8,5,Leicester City,37,20,6,11,66,46,20,66,1.4,2021-05-18,LEI,2020
10,6,West Ham United,37,18,8,11,59,47,12,62,1.4,2021-05-19,WHU,2020
12,7,Tottenham Hotspur,37,17,8,12,64,43,21,59,1.8,2021-05-19,TOT,2020
14,8,Everton,37,17,8,12,47,43,4,59,1.4,2021-05-19,EVE,2020
16,9,Arsenal,37,17,7,13,53,39,14,58,2.4,2021-05-19,ARS,2020
18,10,Leeds United,37,17,5,15,59,53,6,56,2.0,2021-05-18,LEE,2020
20,11,Aston Villa,37,15,7,15,53,45,8,52,1.4,2021-05-19,AVL,2020
22,12,Wolverhampton Wanderers,37,12,9,16,35,50,-15,45,0.8,2021-05-19,WOL,2020
24,13,Crystal Palace,37,12,8,17,41,64,-23,44,1.2,2021-05-19,CRY,2020
26,14,Southampton,37,12,7,18,47,65,-18,43,1.4,2021-05-18,SOU,2020
28,15,Newcastle United,37,11,9,17,44,62,-18,42,1.4,2021-05-19,NEW,2020
30,16,Brighton and Hove Albion,37,9,14,14,40,44,-4,41,1.4,2021-05-18,BHA,2020
32,17,Burnley,37,10,9,18,33,54,-21,39,1.2,2021-05-19,BUR,2020
34,18,Fulham,37,5,13,19,27,51,-24,28,0.4,2021-05-18,FUL,2020
36,19,West Bromwich Albion,37,5,11,21,34,73,-39,26,0.4,2021-05-19,WBA,2020
38,20,Sheffield United,37,6,2,29,19,63,-44,20,1.2,2021-05-19,SHU,2020
