,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Liverpool,13,8,4,1,29,19,10,28,2.2,2020-12-16,LIV,2020
2,2,Tottenham Hotspur,13,7,4,2,25,12,13,25,1.6,2020-12-16,TOT,2020
4,3,Southampton,13,7,3,3,25,18,7,24,1.6,2020-12-16,SOU,2020
6,4,Leicester City,13,8,0,5,24,17,7,24,1.2,2020-12-16,LEI,2020
8,5,Everton,13,7,2,4,23,18,5,23,2.0,2020-12-16,EVE,2020
10,6,Manchester United,12,7,2,3,22,19,3,23,2.6,2020-12-17,MUN,2020
12,7,Chelsea,13,6,4,3,26,14,12,22,1.4,2020-12-15,CHE,2020
14,8,West Ham United,13,6,3,4,21,16,5,21,2.0,2020-12-16,WHU,2020
16,9,Manchester City,12,5,5,2,18,12,6,20,1.6,2020-12-15,MCI,2020
18,10,Wolverhampton Wanderers,13,6,2,5,13,17,-4,20,1.4,2020-12-15,WOL,2020
20,11,Aston Villa,11,6,1,4,21,13,8,19,1.4,2020-12-17,AVL,2020
22,12,Crystal Palace,13,5,3,5,19,18,1,18,1.0,2020-12-16,CRY,2020
24,13,Leeds United,13,5,2,6,22,24,-2,17,1.4,2020-12-16,LEE,2020
26,14,Newcastle United,12,5,2,5,16,21,-5,17,1.2,2020-12-16,NEW,2020
28,15,Arsenal,13,4,2,7,11,16,-5,14,0.4,2020-12-16,ARS,2020
30,16,Brighton and Hove Albion,13,2,5,6,15,21,-6,11,1.0,2020-12-16,BHA,2020
32,17,Burnley,12,2,4,6,6,18,-12,10,1.6,2020-12-17,BUR,2020
34,18,Fulham,13,2,3,8,12,22,-10,9,1.0,2020-12-16,FUL,2020
36,19,West Bromwich Albion,13,1,4,8,10,26,-16,7,0.8,2020-12-15,WBA,2020
38,20,Sheffield United,13,0,1,12,7,24,-17,1,0.0,2020-12-17,SHU,2020
