,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,29,21,5,3,61,21,40,68,2.4,2021-03-10,MCI,2020
2,2,Manchester United,28,15,9,4,55,32,23,54,1.8,2021-03-07,MUN,2020
4,3,Leicester City,28,16,5,7,48,32,16,53,2.0,2021-03-06,LEI,2020
6,4,Chelsea,28,14,8,6,44,25,19,50,2.2,2021-03-08,CHE,2020
8,5,West Ham United,27,14,6,7,42,31,11,48,2.0,2021-03-08,WHU,2020
10,6,Everton,27,14,4,9,39,35,4,46,1.8,2021-03-08,EVE,2020
12,7,Tottenham Hotspur,27,13,6,8,46,28,18,45,1.8,2021-03-07,TOT,2020
14,8,Liverpool,28,12,7,9,47,36,11,43,0.6,2021-03-07,LIV,2020
16,9,Aston Villa,26,12,4,10,38,27,11,40,1.0,2021-03-06,AVL,2020
18,10,Arsenal,27,11,5,11,35,28,7,38,1.4,2021-03-06,ARS,2020
20,11,Leeds United,27,11,2,14,43,46,-3,35,0.6,2021-03-08,LEE,2020
22,12,Wolverhampton Wanderers,28,9,8,11,28,37,-9,35,1.6,2021-03-06,WOL,2020
24,13,Crystal Palace,28,9,7,12,30,47,-17,34,1.0,2021-03-07,CRY,2020
26,14,Southampton,28,9,6,13,35,49,-14,33,0.8,2021-03-10,SOU,2020
28,15,Burnley,28,7,9,12,20,36,-16,30,0.8,2021-03-06,BUR,2020
30,16,Newcastle United,27,7,6,14,27,44,-17,27,1.0,2021-03-07,NEW,2020
32,17,Brighton and Hove Albion,27,5,11,11,27,35,-8,26,0.4,2021-03-06,BHA,2020
34,18,Fulham,28,5,11,12,22,33,-11,26,1.6,2021-03-07,FUL,2020
36,19,West Bromwich Albion,28,3,9,16,20,56,-36,18,1.2,2021-03-07,WBA,2020
38,20,Sheffield United,28,4,2,22,16,45,-29,14,0.6,2021-03-06,SHU,2020
