,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,19,12,5,2,36,13,23,41,3.0,2021-01-26,MCI,2020
2,2,Manchester United,20,12,4,4,37,27,10,40,2.0,2021-01-27,MUN,2020
4,3,Leicester City,20,12,3,5,36,22,14,39,2.2,2021-01-27,LEI,2020
6,4,Liverpool,20,10,7,3,40,23,17,37,1.0,2021-01-28,LIV,2020
8,5,West Ham United,20,10,5,5,30,24,6,35,2.6,2021-01-26,WHU,2020
10,6,Tottenham Hotspur,19,9,6,4,34,20,14,33,1.6,2021-01-28,TOT,2020
12,7,Everton,18,10,3,5,29,22,7,33,2.0,2021-01-27,EVE,2020
14,8,Chelsea,20,8,6,6,33,23,10,30,1.0,2021-01-27,CHE,2020
16,9,Arsenal,20,9,3,8,26,20,6,30,2.6,2021-01-26,ARS,2020
18,10,Aston Villa,18,9,2,7,33,21,12,29,0.8,2021-01-27,AVL,2020
20,11,Southampton,19,8,5,6,27,24,3,29,1.0,2021-01-26,SOU,2020
22,12,Leeds United,19,8,2,9,32,35,-3,26,1.8,2021-01-26,LEE,2020
24,13,Wolverhampton Wanderers,20,6,5,9,21,29,-8,23,0.4,2021-01-27,WOL,2020
26,14,Crystal Palace,20,6,5,9,24,36,-12,23,1.0,2021-01-26,CRY,2020
28,15,Burnley,19,6,4,9,13,24,-11,22,1.8,2021-01-27,BUR,2020
30,16,Newcastle United,20,5,4,11,19,34,-15,19,0.0,2021-01-26,NEW,2020
32,17,Brighton and Hove Albion,20,3,9,8,22,29,-7,18,1.0,2021-01-27,BHA,2020
34,18,Fulham,19,2,7,10,15,27,-12,13,0.6,2021-01-27,FUL,2020
36,19,West Bromwich Albion,20,2,5,13,15,48,-33,11,0.6,2021-01-26,WBA,2020
38,20,Sheffield United,20,2,2,16,12,33,-21,8,1.2,2021-01-27,SHU,2020
