,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Tottenham Hotspur,10,6,3,1,21,9,12,21,2.6,2020-11-29,TOT,2020
2,2,Liverpool,10,6,3,1,22,17,5,21,2.2,2020-11-28,LIV,2020
4,3,Chelsea,10,5,4,1,22,10,12,19,2.2,2020-11-29,CHE,2020
6,4,Leicester City,10,6,0,4,19,14,5,18,1.8,2020-11-30,LEI,2020
8,5,West Ham United,10,5,2,3,17,11,6,17,2.0,2020-11-30,WHU,2020
10,6,Southampton,10,5,2,3,19,16,3,17,2.0,2020-11-29,SOU,2020
12,7,Wolverhampton Wanderers,10,5,2,3,11,11,0,17,1.6,2020-11-29,WOL,2020
14,8,Everton,10,5,1,4,19,17,2,16,0.6,2020-11-28,EVE,2020
16,9,Manchester United,9,5,1,3,16,16,0,16,2.0,2020-11-29,MUN,2020
18,10,Aston Villa,9,5,0,4,20,13,7,15,0.6,2020-11-30,AVL,2020
20,11,Manchester City,9,4,3,2,15,11,4,15,1.6,2020-11-28,MCI,2020
22,12,Leeds United,10,4,2,4,15,17,-2,14,1.4,2020-11-28,LEE,2020
24,13,Newcastle United,10,4,2,4,12,15,-3,14,1.4,2020-11-27,NEW,2020
26,14,Arsenal,10,4,1,5,10,12,-2,13,0.8,2020-11-29,ARS,2020
28,15,Crystal Palace,10,4,1,5,12,15,-3,13,1.2,2020-11-27,CRY,2020
30,16,Brighton and Hove Albion,10,2,4,4,14,16,-2,10,1.2,2020-11-28,BHA,2020
32,17,Fulham,10,2,1,7,11,19,-8,7,1.2,2020-11-30,FUL,2020
34,18,West Bromwich Albion,10,1,3,6,7,18,-11,6,0.8,2020-11-28,WBA,2020
36,19,Burnley,9,1,2,6,4,17,-13,5,0.8,2020-11-28,BUR,2020
38,20,Sheffield United,10,0,1,9,4,16,-12,1,0.0,2020-11-28,SHU,2020
