,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,24,17,5,2,49,15,34,56,3.0,2021-02-17,MCI,2020
2,2,Manchester United,24,13,7,4,50,31,19,46,1.2,2021-02-14,MUN,2020
4,3,Leicester City,24,14,4,6,42,26,16,46,1.6,2021-02-13,LEI,2020
6,4,Chelsea,24,12,6,6,40,24,16,42,2.6,2021-02-15,CHE,2020
8,5,West Ham United,24,12,6,6,37,28,9,42,2.0,2021-02-15,WHU,2020
10,6,Liverpool,24,11,7,6,45,32,13,40,1.2,2021-02-13,LIV,2020
12,7,Everton,23,11,4,8,35,33,2,37,0.8,2021-02-17,EVE,2020
14,8,Aston Villa,22,11,3,8,36,24,12,36,1.4,2021-02-13,AVL,2020
16,9,Tottenham Hotspur,23,10,6,7,36,25,11,36,0.6,2021-02-13,TOT,2020
18,10,Arsenal,24,10,4,10,31,25,6,34,1.4,2021-02-14,ARS,2020
20,11,Leeds United,23,10,2,11,40,42,-2,32,1.8,2021-02-14,LEE,2020
22,12,Wolverhampton Wanderers,24,8,6,10,25,32,-7,30,1.6,2021-02-14,WOL,2020
24,13,Southampton,23,8,5,10,30,39,-9,29,0.0,2021-02-14,SOU,2020
26,14,Crystal Palace,24,8,5,11,27,42,-15,29,1.2,2021-02-13,CRY,2020
28,15,Burnley,24,7,6,11,18,30,-12,27,1.0,2021-02-17,BUR,2020
30,16,Brighton and Hove Albion,24,5,11,8,25,30,-5,26,1.8,2021-02-13,BHA,2020
32,17,Newcastle United,24,7,4,13,25,40,-15,25,1.2,2021-02-15,NEW,2020
34,18,Fulham,24,3,10,11,20,32,-12,19,1.2,2021-02-17,FUL,2020
36,19,West Bromwich Albion,24,2,7,15,19,55,-36,13,0.4,2021-02-14,WBA,2020
38,20,Sheffield United,24,3,2,19,15,40,-25,11,1.2,2021-02-15,SHU,2020
