,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,34,25,5,4,71,24,47,80,2.4,2021-05-01,MCI,2020
2,2,Manchester United,33,19,10,4,64,35,29,67,2.6,2021-04-25,MUN,2020
4,3,Leicester City,34,19,6,9,61,39,22,63,1.4,2021-04-30,LEI,2020
6,4,Chelsea,34,17,10,7,53,31,22,61,2.0,2021-05-01,CHE,2020
8,5,West Ham United,34,17,7,10,55,44,11,58,1.8,2021-05-03,WHU,2020
10,6,Tottenham Hotspur,34,16,8,10,60,38,22,56,1.6,2021-05-02,TOT,2020
12,7,Liverpool,33,15,9,9,55,39,16,54,2.2,2021-04-24,LIV,2020
14,8,Everton,33,15,7,11,45,42,3,52,1.2,2021-05-01,EVE,2020
16,9,Arsenal,34,14,7,13,46,37,9,49,1.4,2021-05-02,ARS,2020
18,10,Aston Villa,33,14,6,13,48,38,10,48,1.4,2021-05-01,AVL,2020
20,11,Leeds United,34,14,5,15,50,52,-2,47,1.6,2021-05-01,LEE,2020
22,12,Wolverhampton Wanderers,34,11,9,14,33,46,-13,42,1.4,2021-05-03,WOL,2020
24,13,Crystal Palace,33,10,8,15,34,56,-22,38,0.8,2021-05-01,CRY,2020
26,14,Brighton and Hove Albion,34,8,13,13,35,39,-4,37,1.0,2021-05-01,BHA,2020
28,15,Southampton,33,10,7,16,41,59,-18,37,0.8,2021-04-30,SOU,2020
30,16,Burnley,34,9,9,16,31,47,-16,36,0.6,2021-05-03,BUR,2020
32,17,Newcastle United,34,9,9,16,36,56,-20,36,1.6,2021-05-02,NEW,2020
34,18,Fulham,34,5,12,17,25,45,-20,27,0.2,2021-05-01,FUL,2020
36,19,West Bromwich Albion,34,5,11,18,31,65,-34,26,1.6,2021-05-03,WBA,2020
38,20,Sheffield United,34,5,2,27,18,60,-42,17,0.6,2021-05-02,SHU,2020
