,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Tottenham Hotspur,9,6,2,1,21,9,12,20,2.6,2020-11-21,TOT,2020
2,2,Liverpool,9,6,2,1,21,16,5,20,2.2,2020-11-22,LIV,2020
4,3,Chelsea,9,5,3,1,22,10,12,18,2.2,2020-11-21,CHE,2020
6,4,Leicester City,9,6,0,3,18,12,6,18,1.8,2020-11-22,LEI,2020
8,5,Southampton,9,5,2,2,17,13,4,17,2.2,2020-11-23,SOU,2020
10,6,Everton,9,5,1,3,19,16,3,16,0.8,2020-11-22,EVE,2020
12,7,Aston Villa,8,5,0,3,19,11,8,15,1.2,2020-11-21,AVL,2020
14,8,West Ham United,9,4,2,3,15,10,5,14,1.6,2020-11-22,WHU,2020
16,9,Wolverhampton Wanderers,9,4,2,3,9,10,-1,14,1.6,2020-11-23,WOL,2020
18,10,Manchester United,8,4,1,3,13,14,-1,13,2.0,2020-11-21,MUN,2020
20,11,Crystal Palace,9,4,1,4,12,13,-1,13,1.4,2020-11-23,CRY,2020
22,12,Arsenal,9,4,1,4,9,10,-1,13,0.8,2020-11-22,ARS,2020
24,13,Manchester City,8,3,3,2,10,11,-1,12,1.6,2020-11-21,MCI,2020
26,14,Leeds United,9,3,2,4,14,17,-3,11,0.8,2020-11-22,LEE,2020
28,15,Newcastle United,9,3,2,4,10,15,-5,11,0.8,2020-11-21,NEW,2020
30,16,Brighton and Hove Albion,9,2,3,4,13,15,-2,9,1.2,2020-11-21,BHA,2020
32,17,Burnley,8,1,2,5,4,12,-8,5,1.0,2020-11-23,BUR,2020
34,18,Fulham,9,1,1,7,9,18,-9,4,0.8,2020-11-22,FUL,2020
36,19,West Bromwich Albion,9,0,3,6,6,18,-12,3,0.4,2020-11-21,WBA,2020
38,20,Sheffield United,9,0,1,8,4,15,-11,1,0.2,2020-11-22,SHU,2020
