,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,22,15,5,2,43,14,29,50,3.0,2021-02-07,MCI,2020
2,2,Manchester United,23,13,6,4,49,30,19,45,1.6,2021-02-06,MUN,2020
4,3,Leicester City,23,13,4,6,39,25,14,43,1.6,2021-02-07,LEI,2020
6,4,Liverpool,23,11,7,5,44,29,15,40,1.2,2021-02-07,LIV,2020
8,5,Chelsea,23,11,6,6,38,24,14,39,2.0,2021-02-07,CHE,2020
10,6,West Ham United,23,11,6,6,34,28,6,39,2.0,2021-02-06,WHU,2020
12,7,Everton,21,11,4,6,34,28,6,37,1.6,2021-02-06,EVE,2020
14,8,Tottenham Hotspur,22,10,6,6,36,22,14,36,1.2,2021-02-07,TOT,2020
16,9,Aston Villa,21,11,2,8,36,24,12,35,1.8,2021-02-06,AVL,2020
18,10,Leeds United,22,10,2,10,38,38,0,32,1.8,2021-02-08,LEE,2020
20,11,Arsenal,23,9,4,10,27,23,4,31,1.4,2021-02-06,ARS,2020
22,12,Southampton,22,8,5,9,29,37,-8,29,0.0,2021-02-06,SOU,2020
24,13,Crystal Palace,23,8,5,10,27,39,-12,29,1.2,2021-02-08,CRY,2020
26,14,Wolverhampton Wanderers,23,7,6,10,23,31,-8,27,1.0,2021-02-07,WOL,2020
28,15,Brighton and Hove Albion,23,5,10,8,25,30,-5,25,2.2,2021-02-06,BHA,2020
30,16,Newcastle United,23,7,4,12,25,38,-13,25,1.2,2021-02-06,NEW,2020
32,17,Burnley,22,6,5,11,14,29,-15,23,1.4,2021-02-06,BUR,2020
34,18,Fulham,22,2,9,11,17,31,-14,15,0.6,2021-02-06,FUL,2020
36,19,West Bromwich Albion,23,2,6,15,18,54,-36,12,0.2,2021-02-07,WBA,2020
38,20,Sheffield United,23,3,2,18,15,37,-22,11,1.2,2021-02-07,SHU,2020
