,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Tottenham Hotspur,12,7,4,1,24,10,14,25,2.2,2020-12-13,TOT,2020
2,2,Liverpool,12,7,4,1,27,18,9,25,1.8,2020-12-13,LIV,2020
4,3,Leicester City,12,8,0,4,24,15,9,24,1.8,2020-12-13,LEI,2020
6,4,Southampton,12,7,2,3,24,17,7,23,2.0,2020-12-13,SOU,2020
8,5,Chelsea,12,6,4,2,25,12,13,22,2.0,2020-12-12,CHE,2020
10,6,West Ham United,12,6,2,4,20,15,5,20,2.4,2020-12-11,WHU,2020
12,7,Everton,12,6,2,4,21,18,3,20,1.4,2020-12-12,EVE,2020
14,8,Manchester United,11,6,2,3,19,17,2,20,2.6,2020-12-12,MUN,2020
16,9,Manchester City,11,5,4,2,17,11,6,19,1.6,2020-12-12,MCI,2020
18,10,Aston Villa,10,6,0,4,21,13,8,18,1.2,2020-12-12,AVL,2020
20,11,Crystal Palace,12,5,2,5,18,17,1,17,1.4,2020-12-13,CRY,2020
22,12,Newcastle United,11,5,2,4,14,16,-2,17,1.8,2020-12-12,NEW,2020
24,13,Wolverhampton Wanderers,12,5,2,5,11,16,-5,17,0.8,2020-12-12,WOL,2020
26,14,Leeds United,12,4,2,6,17,22,-5,14,0.8,2020-12-11,LEE,2020
28,15,Arsenal,12,4,1,7,10,15,-5,13,0.2,2020-12-13,ARS,2020
30,16,Brighton and Hove Albion,12,2,4,6,15,21,-6,10,1.0,2020-12-13,BHA,2020
32,17,Burnley,11,2,3,6,6,18,-12,9,1.6,2020-12-13,BUR,2020
34,18,Fulham,12,2,2,8,12,22,-10,8,0.8,2020-12-13,FUL,2020
36,19,West Bromwich Albion,12,1,3,8,9,25,-16,6,0.6,2020-12-12,WBA,2020
38,20,Sheffield United,12,0,1,11,5,21,-16,1,0.0,2020-12-13,SHU,2020
