,Position,Club,Pl,W,D,L,GF,GA,GD,Pts,Form,Last Match Date,Code,Season
0,1,Manchester City,30,22,5,3,64,21,43,71,2.4,2021-03-13,MCI,2020
2,2,Manchester United,29,16,9,4,56,32,24,57,2.2,2021-03-14,MUN,2020
4,3,Leicester City,29,17,5,7,53,32,21,56,2.0,2021-03-14,LEI,2020
6,4,Chelsea,29,14,9,6,44,25,19,51,1.8,2021-03-13,CHE,2020
8,5,West Ham United,29,14,7,8,45,35,10,49,1.4,2021-03-21,WHU,2020
10,6,Tottenham Hotspur,29,14,6,9,49,30,19,48,2.4,2021-03-21,TOT,2020
12,7,Liverpool,29,13,7,9,48,36,12,46,1.2,2021-03-15,LIV,2020
14,8,Everton,28,14,4,10,40,37,3,46,1.8,2021-03-13,EVE,2020
16,9,Arsenal,29,12,6,11,40,32,8,42,1.6,2021-03-21,ARS,2020
18,10,Aston Villa,28,12,5,11,39,30,9,41,1.0,2021-03-21,AVL,2020
20,11,Leeds United,29,12,3,14,45,47,-2,39,1.4,2021-03-19,LEE,2020
22,12,Crystal Palace,29,10,7,12,31,47,-16,37,1.6,2021-03-13,CRY,2020
24,13,Wolverhampton Wanderers,29,9,8,12,28,38,-10,35,1.0,2021-03-15,WOL,2020
26,14,Southampton,29,9,6,14,36,51,-15,33,0.6,2021-03-14,SOU,2020
28,15,Burnley,29,8,9,12,22,37,-15,33,1.2,2021-03-13,BUR,2020
30,16,Brighton and Hove Albion,29,7,11,11,32,36,-4,32,1.2,2021-03-20,BHA,2020
32,17,Newcastle United,29,7,7,15,28,48,-20,28,0.6,2021-03-20,NEW,2020
34,18,Fulham,30,5,11,14,23,38,-15,26,0.8,2021-03-19,FUL,2020
36,19,West Bromwich Albion,29,3,9,17,20,57,-37,18,1.0,2021-03-13,WBA,2020
38,20,Sheffield United,29,4,2,23,16,50,-34,14,0.6,2021-03-14,SHU,2020
